,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
83,IL2RG,PYHIN1,TNFAIP3,NCR3,MCUB,PASK,HNRNPLL,EIF4A3,APMAP,PPP1CA,GNPTAB,JUN,ARHGAP9,PARP8,ATP5MC2,RHOH,SOCS3
84,MYL6,IKZF3,SEC61B,GNG2,ACTN1,FYB1,CD48,KLRC3,PRDM1,CHST12,SYNE2,IER2,TLN1,RORA,PTMA,VIM,ERN1
85,ITGAL,PSMB9,YWHAQ,LITAF,TLE5,EIF3L,PIM2,TRAC,CD74,TRBC2,GSTP1,LYST,CHST12,DPP4,TRAF3IP3,COX7C,HLA-A
86,UBC,GAPDH,GYG1,CEP78,UQCRB,MAML2,RAP1A,PRRC2B,RNF213,DOK2,ALOX5AP,LAG3,TXK,SESN1,TRAT1,NT5E,FLT3LG
87,CALM1,CD84,CASP1,TGFB1,TMC8,FBL,LDHA,SAT1,KLRG1,ARPC3,CHST2,F2R,CAPG,S100A11,FTH1,TOMM20,PTGER2
88,YWHAQ,SRSF2,PLAAT4,ADGRE5,LIMD2,CYTIP,TTC39C,NFKB1,SERF2,PAXX,CEP78,TRGV10,CLDND1,SH2D2A,CIRBP,HINT1,BTF3
89,CCL4,ZBTB38,SPOCK2,MYBL1,NPM1,OGT,TAGLN2,STT3B,PPIB,PLEK,PLAC8,PRKCH,MBP,CFL1,TOMM7,UBE2D2,RILPL2
90,ANXA2,PPP1R18,MCL1,CD99,MLLT3,SIRPG,FOS,RRAS2,PPP2R5C,S100A10,TRDC,ZBTB38,RUNX3,ODF2L,CITED4,PIK3IP1,SOD1
91,CD3G,IDH2,TRDC,HCST,EPHX2,PNISR,BIRC3,TMOD3,PTP4A2,MYO1F,ARPC2,GPR174,MYO1F,CASP1,MCUB,COMMD6,MYL12A
92,PTPRC,FCRL3,IL2RG,ITGAL,TESPA1,SNHG8,TAGAP,SPOCK2,TRBV20-1,CD63,TGFBR3,PTGDR,PSTPIP1,HCST,CD3D,FOXP1,CITED2
93,GZMM,CLEC2B,ADRB2,HLA-A,CD6,GYPC,ZNF331,IER5,CYTOR,ZEB2,ABI3,IKZF3,AC020916.1,LAG3,PDE7A,ACAP1,CSTB
94,PTMS,CRTAM,BTG2,RASSF1,JAK3,NT5E,SMDT1,HOPX,DUSP2,LCP1,PDIA3,FCRL3,AC044849.1,AUTS2,SATB1,TSC22D3,SYNGR2
95,ATP2B4,DNAJC1,P4HB,CD300A,AC119396.1,UQCRB,GPRIN3,TAP1,UBB,C12orf75,SPN,IGLV3-21,LY6E,COLQ,LAPTM5,PRMT2,NME2
96,RAP1B,PIK3R1,STOM,GBP5,BTF3,CLEC2D,TNFRSF1B,LTB,ATP2B4,ZFP36L2,KLRK1,DUSP1,SEPTIN7,TNFSF14,ATP5PO,CHCHD10,LGALS1
97,FGR,HLA-DMA,PARP8,MSN,ATP1A1,ANP32B,CXCR4,MBP,ABHD17A,TAGLN2,ID2,YPEL3,ITGB2,EMB,CD5,COTL1,YWHAB
98,CAP1,DDX3X,IL18RAP,IGFBP7,BCL2,BCL2,IDS,IFNG-AS1,SCP2,CD81,MBP,MYL12A,CLIC3,FTH1,SUSD3,NFKB1,CD69
99,PPDPF,CHST12,ARAP2,GZMM,TMEM243,PFDN5,CD40LG,NSG1,GSTP1,COL6A2,ACTN4,CKLF,MYBL1,KIF5C,VIM,EIF2S3,SLC25A6
