,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
1447,1.0,1.0,0.5377534337415087,0.5607338315875727,0.9442062251392094,0.555213053807074,0.2209723201038945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1448,1.0,1.0,0.5377534337415087,0.5612543960819387,0.9442062251392094,0.555213053807074,0.2209723201038945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1449,1.0,1.0,0.5377534337415087,0.5612543960819387,0.9442062251392094,0.5564028896546392,0.2213003341767986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1450,1.0,1.0,0.5377534337415087,0.5612543960819387,0.9442062251392094,0.5569596403902857,0.22140866904056644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1451,1.0,1.0,0.5381461231565636,0.5627090971665302,0.9448031208473824,0.5570354401850116,0.22140866904056644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1452,1.0,1.0,0.5424214030523629,0.5647444620035885,0.9471694576511009,0.5579606561443761,0.22202791193465998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1453,1.0,1.0,0.5439377087152599,0.5647444620035885,0.9472705359691802,0.5579606561443761,0.22202791193465998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1454,1.0,1.0,0.5442419516442505,0.565806018765101,0.9472705359691802,0.5604969244586213,0.22202791193465998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1455,1.0,1.0,0.5463329457240511,0.5662626892800061,0.9476815899864262,0.5604969244586213,0.22239108956525866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1456,1.0,1.0,0.5467773325399291,0.5676464469402394,0.9476815899864262,0.5605120717523392,0.22251526871847788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
