"","normalized_mcc","f1","thresholds","Factor"
"350",0.495302980074728,0.00159024648820567,1,"CD8A"
"351",NA,0.0079576963912053,0,"CD8A"
"352",NA,NA,Inf,"CD8B"
"353",0.496956078032169,0.00339174674957603,1,"CD8B"
"354",NA,0.0079576963912053,0,"CD8B"
"355",NA,NA,Inf,"IGKV2.24"
"356",0.495075275174282,0,1,"IGKV2.24"
"357",NA,0.0079576963912053,0,"IGKV2.24"
"358",NA,NA,Inf,"FAM178B"
"359",0.495386429159302,0.000699300699300699,1,"FAM178B"
"360",NA,0.0079576963912053,0,"FAM178B"
"361",NA,NA,Inf,"IL1RL1"
"362",0.496230737007908,0,1,"IL1RL1"
"363",NA,0.0079576963912053,0,"IL1RL1"
"364",NA,NA,Inf,"IL18RAP"
"365",0.501506658738162,0.00786627335299902,1,"IL18RAP"
"366",NA,0.0079576963912053,0,"IL18RAP"
"367",NA,NA,Inf,"AC013402.1"
"368",0.495580849438625,0,1,"AC013402.1"
"369",NA,0.0079576963912053,0,"AC013402.1"
"370",NA,NA,Inf,"LINC01114"
"371",0.494994099889692,0,1,"LINC01114"
"372",NA,0.0079576963912053,0,"LINC01114"
"373",NA,NA,Inf,"MARCO"
"374",0.49744289581657,0.00137835975189524,1,"MARCO"
"375",NA,0.0079576963912053,0,"MARCO"
"376",NA,NA,Inf,"PROC"
"377",0.575354254386132,0.151057401812689,1,"PROC"
"378",NA,0.0079576963912053,0,"PROC"
"379",NA,NA,Inf,"MYO7B"
"380",0.49571148460557,0.00210249671484888,1,"MYO7B"
"381",NA,0.0079576963912053,0,"MYO7B"
"382",NA,NA,Inf,"LIMS2"
"383",0.495952951230003,0,1,"LIMS2"
"384",NA,0.0079576963912053,0,"LIMS2"
"385",NA,NA,Inf,"LCT"
"386",0.496800028140582,0.00110192837465565,1,"LCT"
"387",NA,0.0079576963912053,0,"LCT"
"388",NA,NA,Inf,"KYNU"
"389",0.508184514588877,0.0126948303829607,1,"KYNU"
"390",NA,0.0079576963912053,0,"KYNU"
"391",NA,NA,Inf,"TNFAIP6"
"392",0.497015167081808,0,1,"TNFAIP6"
"393",NA,0.0079576963912053,0,"TNFAIP6"
"394",NA,NA,Inf,"DPP4"
"395",0.514065406469991,0.0312256049960968,1,"DPP4"
"396",NA,0.0079576963912053,0,"DPP4"
"397",NA,NA,Inf,"SCN2A"
"398",0.497753287822399,0,1,"SCN2A"
"399",NA,0.0079576963912053,0,"SCN2A"
"400",NA,NA,Inf,"DHRS9"
"401",0.499816173859996,0.00700525394045534,1,"DHRS9"
"402",NA,0.0079576963912053,0,"DHRS9"
"403",NA,NA,Inf,"GAD1"
"404",0.496898808788767,0,1,"GAD1"
"405",NA,0.0079576963912053,0,"GAD1"
"406",NA,NA,Inf,"GPR155"
"407",0.500258774351356,0.0068762278978389,1,"GPR155"
"408",NA,0.0079576963912053,0,"GPR155"
"409",NA,NA,Inf,"CDK15"
"410",0.496269148604296,0,1,"CDK15"
"411",NA,0.0079576963912053,0,"CDK15"
"412",NA,NA,Inf,"CD28"
"413",0.497021078387166,0.00118906064209275,1,"CD28"
"414",NA,0.0079576963912053,0,"CD28"
"415",NA,NA,Inf,"ICOS"
"416",0.49843700804085,0.00195694716242661,1,"ICOS"
"417",NA,0.0079576963912053,0,"ICOS"
"418",NA,NA,Inf,"ADAM23"
"419",0.496926210133749,0,1,"ADAM23"
"420",NA,0.0079576963912053,0,"ADAM23"
"421",NA,NA,Inf,"LINC01857"
"422",0.500346753643755,0.00340136054421769,1,"LINC01857"
"423",NA,0.0079576963912053,0,"LINC01857"
"424",NA,NA,Inf,"PTH2R"
"425",0.493745791043128,0.00183122234091256,1,"PTH2R"
"426",NA,0.0079576963912053,0,"PTH2R"
"427",NA,NA,Inf,"CXCR2"
"428",0.50492367249344,0.0145631067961165,1,"CXCR2"
"429",NA,0.0079576963912053,0,"CXCR2"
"430",NA,NA,Inf,"GPBAR1"
"431",0.49819066308735,0.00438116100766703,1,"GPBAR1"
"432",NA,0.0079576963912053,0,"GPBAR1"
"433",NA,NA,Inf,"CYP27A1"
"434",0.495569334668048,0.00073909830007391,1,"CYP27A1"
"435",NA,0.0079576963912053,0,"CYP27A1"
"436",NA,NA,Inf,"WNT10A"
"437",0.524450852435289,0.051948051948052,1,"WNT10A"
"438",NA,0.0079576963912053,0,"WNT10A"
"439",NA,NA,Inf,"DES"
"440",0.497496990270276,0,1,"DES"
"441",NA,0.0079576963912053,0,"DES"
"442",NA,NA,Inf,"SLC4A3"
"443",0.557399778702595,0.118372379778052,1,"SLC4A3"
"444",NA,0.0079576963912053,0,"SLC4A3"
"445",NA,NA,Inf,"COL4A4"
"446",0.49852926662042,0,1,"COL4A4"
"447",NA,0.0079576963912053,0,"COL4A4"
"448",NA,NA,Inf,"PID1"
"449",0.499347947157144,0.00450112528132033,1,"PID1"
"450",NA,0.0079576963912053,0,"PID1"
"451",NA,NA,Inf,"SP140"
"452",0.496921610688398,0.00378877575183519,1,"SP140"
"453",NA,0.0079576963912053,0,"SP140"
"454",NA,NA,Inf,"NMUR1"
"455",0.495889329915954,0.00139227288548556,1,"NMUR1"
"456",NA,0.0079576963912053,0,"NMUR1"
"457",NA,NA,Inf,"SNORC"
"458",0.492627192357012,0,1,"SNORC"
"459",NA,0.0079576963912053,0,"SNORC"
"460",NA,NA,Inf,"ERFE"
"461",0.495964886052387,0,1,"ERFE"
"462",NA,0.0079576963912053,0,"ERFE"
"463",NA,NA,Inf,"LINC02610"
"464",0.497548518441966,0.0028116213683224,1,"LINC02610"
"465",NA,0.0079576963912053,0,"LINC02610"
"466",NA,NA,Inf,"GPR35"
"467",0.49597687834407,0.0018738288569644,1,"GPR35"
"468",NA,0.0079576963912053,0,"GPR35"
"469",NA,NA,Inf,"AGXT"
"470",0.494243696301988,0,1,"AGXT"
"471",NA,0.0079576963912053,0,"AGXT"
"472",NA,NA,Inf,"AC104809.2"
"473",0.493816114753489,0.000454235748353395,1,"AC104809.2"
"474",NA,0.0079576963912053,0,"AC104809.2"
"475",NA,NA,Inf,"ANO7"
"476",0.496641325364815,0,1,"ANO7"
"477",NA,0.0079576963912053,0,"ANO7"
"478",NA,NA,Inf,"IL5RA"
"479",0.492314105710005,0,1,"IL5RA"
"480",NA,0.0079576963912053,0,"IL5RA"
