,0
946,SLC45A4
947,PTP4A3
948,ADGRB1
949,ARC
950,LYPD2
951,MINCR
952,ZNF696
953,MROH6
954,PLEC
955,ADCK5
956,KIFC2
957,GPT
958,ZNF250
959,FOXD4
960,CBWD1
961,VLDLR
962,GLIS3
963,GLDC
964,CDKN2A
965,MOB3B
966,AQP3
967,ANKRD18B
968,KIF24
969,ENHO
970,FAM214B
971,CD72
972,SIT1
973,TMEM8B
974,MELK
975,PAX5
976,SHB
977,AL512625.3
978,MAMDC2
979,SMC5-AS1
980,LINC01504
981,NMRK1
982,PCSK5
983,PSAT1
984,TLE1
985,C9orf64
986,GOLM1
987,CTSL
988,GADD45G
989,IPPK
990,ZNF169
991,FBP1
992,FANCC
993,TDRD7
994,TMOD1
995,TSTD2
996,CORO2A
997,ABCA1
998,LPAR1
999,PTGR1
1000,UGCG
1001,SNX30
1002,ORM1
1003,WHRN
1004,TNFSF8
1005,TLR4
1006,TTLL11
1007,LHX6
1008,AL359636.2
1009,ZBTB26
1010,ZBTB34
1011,NIBAN2
1012,STXBP1
1013,AK1
1014,SLC27A4
1015,PHYHD1
1016,LINC01503
1017,NCS1
1018,ASS1
1019,FIBCD1
1020,NTNG2
1021,SLC2A6
1022,BRD3OS
1023,FCN1
1024,SNAPC4
1025,LCN10
1026,LCN6
1027,CCDC183
1028,AJM1
1029,PTGDS
1030,CLIC3
1031,SAPCD2
1032,NDOR1
1033,TOR4A
1034,PNPLA7
1035,ADARB2-AS1
1036,AKR1E2
1037,AKR1C1
1038,IL2RA
1039,AL392086.3
1040,PROSER2-AS1
1041,FRMD4A
1042,AC069544.1
1043,NMT2
1044,FAM171A1
1045,ITGA8
1046,MINDY3
1047,MRC1
1048,MIR1915HG
1049,OTUD1
1050,THNSL1
1051,CCDC7
1052,NRP1
1053,PARD3
1054,AL135791.1
1055,ZNF487
1056,RASSF4
1057,DEPP1
1058,ALOX5
1059,AGAP9
1060,TMEM273
1061,SLC16A9
1062,ANK3
1063,RTKN2
1064,JMJD1C-AS1
1065,TET1
1066,STOX1
1067,KIF1BP
1068,AIFM2
1069,LRRC20
1070,PALD1
1071,PRF1
1072,CDH23
1073,MCU
1074,FAM149B1
1075,PAPSS2
1076,RNLS
1077,ANKRD22
1078,ACTA2
1079,FAS
1080,CH25H
1081,IFIT2
1082,IFIT3
1083,IFIT1B
1084,IFIT1
1085,PANK1
1086,LINC00865
1087,LINC01374
1088,MYOF
1089,CEP55
1090,TBC1D12
1091,SORBS1
1092,ENTPD1
1093,CCNJ
1094,BLNK
1095,UBTD1
1096,PI4K2A
1097,AVPI1
1098,R3HCC1L
1099,NKX2-3
1100,ENTPD7
1101,SEC31B
1102,PDZD7
1103,SH3PXD2A
1104,ITPRIP
1105,DUSP5
1106,GPAM
1107,DCLRE1A
1108,TRUB1
1109,SHTN1
1110,GRK5
1111,PLPP4
1112,C10orf88
1113,HMX3
1114,HMX2
1115,CHST15
1116,LRRC27
1117,UTF1
1118,VENTX
1119,PAOX
1120,CYP2E1
1121,SYCE1
1122,LINC01001
1123,AC136475.3
1124,SCT
1125,DRD4
1126,CRACR2B
1127,TNNI2
1128,TNNT3
1129,IGF2
1130,KCNQ1
1131,SLC22A18
1132,PHLDA2
1133,AC127526.2
1134,AC104389.5
1135,TRIM6
1136,TRIM66
1137,TMEM9B-AS1
1138,AC132192.2
1139,ADM
1140,MICAL2
1141,LINC00958
1142,ARNTL
1143,RRAS2
1144,PDE3B
1145,SOX6
1146,E2F8
1147,KIF18A
1148,WT1
1149,WT1-AS
1150,DEPDC7
1151,PRR5L
1152,RAG1
1153,RAG2
1154,TP53I11
1155,LARGE2
1156,LRP4
1157,PTPRJ
1158,TNKS1BP1
1159,PRG2
1160,YPEL4
1161,CLP1
1162,MPEG1
1163,MS4A3
1164,MS4A6A
1165,MS4A4A
1166,MS4A4E
1167,MS4A7
1168,MS4A1
1169,PTGDR2
1170,SLC15A3
1171,CD6
1172,CD5
1173,VWCE
1174,MYRF
1175,RAB3IL1
1176,LGALS12
1177,PLAAT2
1178,PLAAT3
1179,PPP1R14B-AS1
1180,LINC02723
1181,AP005273.2
1182,NRXN2
1183,PPP2R5B
1184,AP003068.2
1185,CDC42EP2
1186,AP5B1
1187,CATSPER1
1188,KLC2
1189,CD248
1190,RIN1
1191,SPTBN2
1192,C11orf80
1193,PC
1194,CLCF1
1195,PTPRCAP
1196,PITPNM1
1197,GAL
1198,CCND1
1199,CTTN
1200,RNF121
1201,FOLR3
1202,P2RY2
1203,PLEKHB1
1204,GDPD5
1205,GVQW3
1206,DDIAS
1207,RAB30
1208,AP000873.2
1209,SYTL2
1210,PRSS23
1211,PIWIL4
1212,ARHGAP42
1213,MMP8
1214,CASP5
1215,ALKBH8
1216,POU2AF1
1217,NCAM1
1218,USP28
1219,CADM1
1220,SIDT2
1221,TAGLN
1222,FXYD2
1223,FXYD6
1224,IL10RA
1225,CD3E
1226,CD3D
1227,CD3G
1228,CXCR5
1229,C2CD2L
1230,NECTIN1
1231,ARHGEF12
1232,CRTAM
1233,ZNF202
1234,SPA17
1235,CCDC15
1236,SLC37A2
1237,FEZ1
1238,HYLS1
1239,C11orf45
1240,PRDM10
1241,ST14
1242,RAD52
1243,CACNA2D4
1244,TIGAR
1245,VWF
1246,CD27
1247,VAMP1
1248,LPAR5
1249,GPR162
1250,CDCA3
1251,CD163
1252,CLEC4C
1253,SLC2A14
1254,C3AR1
1255,CLEC4A
1256,CLEC4D
1257,CLEC4E
1258,AC092490.1
1259,KLRB1
1260,CLECL1
1261,KLRF1
1262,LINC02470
1263,CLEC7A
1264,KLRD1
1265,KLRK1
1266,KLRC4
1267,KLRC3
1268,KLRC2
1269,KLRC1
1270,LINC02446
1271,APOLD1
1272,GPRC5D
1273,PLBD1
1274,ART4
1275,EPS8
1276,PYROXD1
1277,BHLHE41
1278,AC092747.4
1279,ARNTL2
1280,CAPRIN2
1281,AC023157.3
1282,FGD4
1283,ALG10B
1284,KIF21A
1285,ABCD2
1286,SLC2A13
1287,LRRK2
1288,PDZRN4
1289,PRICKLE1
1290,NELL2
1291,PCED1B
1292,PCED1B-AS1
1293,AC010173.1
1294,TROAP
1295,BCDIN3D
1296,ACVRL1
1297,ACVR1B
1298,KRT5
1299,KRT1
1300,CSAD
1301,ITGB7
1302,ESPL1
1303,AC023509.2
1304,SMUG1
1305,METTL7B
1306,ITGA7
1307,NAB2
1308,LRP1
1309,STAC3
1310,HELB
1311,IFNG-AS1
1312,IFNG
1313,LINC02384
1314,CPM
1315,AC020656.1
1316,KCNMB4
1317,THAP2
1318,PHLDA1
1319,CSRP2
1320,E2F7
1321,TMTC2
1322,AC024909.1
1323,AC025164.1
1324,LINC02397
1325,CRADD
1326,HAL
1327,GAS2L3
1328,HELLPAR
1329,IGF1
1330,C12orf42
1331,NT5DC3
1332,ALDH1L2
1333,CKAP4
1334,POLR3B
1335,MTERF2
1336,CMKLR1
1337,FICD
1338,AC007569.1
1339,MVK
1340,CUX2
1341,PHETA1
1342,DTX1
1343,RASAL1
1344,CFAP73
1345,AC125603.2
1346,C12orf49
1347,HRK
1348,OASL
1349,AC156455.1
1350,HCAR2
1351,HCAR3
1352,ABCB9
1353,PITPNM2
1354,GLT1D1
1355,LINC01257
1356,MMP17
1357,GPR12
1358,LNX2
1359,PAN3-AS1
1360,ALOX5AP
1361,B3GLCT
1362,CCDC169
1363,CCNA1
1364,SLC25A15
1365,MTRF1
1366,RUBCNL
1367,LPAR6
1368,RCBTB2
1369,ATP7B
1370,BORA
1371,LINC00402
1372,TBC1D4
1373,LMO7
1374,KCTD12
1375,POU4F1
1376,NDFIP2
1377,GPR18
1378,GPR183
1379,RAB20
1380,AL139384.1
1381,ATP11A
1382,GRTP1
1383,GRTP1-AS1
1384,DCUN1D2
1385,GAS6
1386,AL355075.4
1387,TEP1
1388,ANG
1389,RNASE6
1390,RNASE1
1391,RNASE3
1392,TRDV2
1393,TRDC
1394,TRAC
1395,SLC7A7
1396,MMP14
1397,CEBPE
1398,RIPK3
1399,GZMH
1400,GZMB
1401,STXBP6
1402,COCH
1403,SLC25A21
1404,CLEC14A
1405,AL627171.1
1406,L2HGDH
1407,PTGDR
1408,TXNDC16
1409,LGALS3
1410,DLGAP5
1411,RTN1
1412,SGPP1
1413,SYNE2
1414,PLEKHG3
1415,SPTB
1416,PLEK2
1417,AC004817.3
1418,AC004846.1
1419,AC005280.2
1420,BBOF1
1421,PGF
1422,VASH1
1423,ALKBH1
1424,ADCK1
1425,LINC02328
1426,GPR65
1427,KCNK10
1428,FBLN5
1429,SLC24A4
