subset,gene,logFC,pct_AML,pct_HBM
GZMB NK,WDTC1,0.0041553825,0.12844036697247707,0.11778563015312132
GZMB NK,TMEM222,0.036605597,0.10321100917431193,0.0706713780918728
GZMB NK,SYTL1,-0.43542832,0.41743119266055045,0.5700824499411072
GZMB NK,WASF2,0.0909242,0.39908256880733944,0.33451118963486454
GZMB NK,FGR,-0.19837207,0.45642201834862384,0.5100117785630153
GZMB NK,IFI6,0.31310913,0.24541284403669725,0.10482921083627797
GZMB NK,FAM76A,0.0086967945,0.04357798165137615,0.0353356890459364
GZMB NK,STX12,0.015927598,0.08486238532110092,0.07538280329799764
GZMB NK,PPP1R8,0.012373798,0.0389908256880734,0.028268551236749116
GZMB NK,THEMIS2,-0.33971056,0.16972477064220184,0.31566548881036516
GZMB NK,RPA2,-0.038865566,0.21788990825688073,0.22025912838633688
GZMB NK,XKR8,-0.10718781,0.07339449541284404,0.1248527679623086
GZMB NK,DNAJC8,-0.0023638606,0.1743119266055046,0.15901060070671377
GZMB NK,ATP5IF1,-0.012609363,0.3256880733944954,0.303886925795053
GZMB NK,SESN2,0.02088809,0.08486238532110092,0.06713780918727916
GZMB NK,PHACTR4,0.08089515,0.08944954128440367,0.043580683156654886
GZMB NK,SNHG3,0.090452336,0.11009174311926606,0.05771495877502945
GZMB NK,TRNAU1AP,-0.023199767,0.10321100917431193,0.10600706713780919
GZMB NK,SNHG12,0.14280894,0.14908256880733944,0.07538280329799764
GZMB NK,TAF12,0.017784148,0.09174311926605505,0.07420494699646643
GZMB NK,GMEB1,0.05236657,0.07568807339449542,0.045936395759717315
GZMB NK,YTHDF2,-0.0033786595,0.1834862385321101,0.16725559481743227
GZMB NK,EPB41,0.06358105,0.31880733944954126,0.27326266195524146
GZMB NK,SRSF4,0.089920044,0.26146788990825687,0.20848056537102475
GZMB NK,LAPTM5,-0.13771164,0.6559633027522935,0.6690223792697291
GZMB NK,PUM1,0.045556515,0.17660550458715596,0.14723203769140164
GZMB NK,SNRNP40,0.024401724,0.12155963302752294,0.0989399293286219
GZMB NK,ZCCHC17,0.036342353,0.14220183486238533,0.11307420494699646
GZMB NK,PEF1,-0.009808928,0.1651376146788991,0.14723203769140164
GZMB NK,PTP4A2,-0.09247911,0.4954128440366973,0.5206124852767963
GZMB NK,KHDRBS1,0.088173926,0.38990825688073394,0.32744405182567726
GZMB NK,TMEM39B,-0.024014667,0.01834862385321101,0.02944640753828033
GZMB NK,KPNA6,0.037671655,0.09403669724770643,0.06831566548881036
GZMB NK,TXLNA,-0.007847846,0.045871559633027525,0.04711425206124853
GZMB NK,CCDC28B,-0.03207694,0.09403669724770643,0.0977620730270907
GZMB NK,EIF3I,-0.022826046,0.25229357798165136,0.2497055359246172
GZMB NK,LCK,0.0043240786,0.5688073394495413,0.5323910482921084
GZMB NK,HDAC1,-0.007502049,0.22247706422018348,0.20730270906949352
GZMB NK,MARCKSL1,-0.0014221072,0.12844036697247707,0.12249705535924617
