Mixture,Naïve CD4 T,Memory CD4 T,Treg,Naïve CD8 T,Memory CD8 T,GZMK CD8 T,GZMB CD8 T,GZMB DNT,MAIT,GZMK NK,GZMB NK,Proliferating T,P-value,Correlation,RMSE
TARGET.20.PAWMLK.09A,0.070831271585974,0.0631645130507172,0.0711815333097165,0.108809522585539,0.120724221421436,0.198646116666399,0.0102015073748034,0.0894491028459816,0.103837466396149,0.0597856535906209,0.0272928307513643,0.0760762604212989,0,0.767758853372021,0.704781590850511
TARGET.20.PATJES.09A,0.0926669409080404,0.13408043804685,0.0546727280783015,0.184551026991112,0.0786073243480412,0.0122509183825141,0.0434389994168858,0.108056870539759,0.0594660604754552,0.0691403371285408,0.0813681341691418,0.0817002215153585,0,0.687938753954893,0.789857089649398
TARGET.20.PAXJMY.09A,0.012272926247375,0.0131670270656407,0.264327719724704,0.145917250822502,0.12472136453109,0,0.0195337089205298,0,0.182718924601527,0.0510378810471229,0.139177514099521,0.047125682939989,0,0.517306132087276,0.868108299491628
TARGET.20.PAWCCR.09A,0.104130037098699,0.0171601422334585,0.171598239052311,0.161767282769106,0.121296959130126,0,0.00942395255787964,0.0215225851148726,0.147212559340972,0.057224233859431,0.119449066405815,0.0692149424373291,0,0.545224595043678,0.857585962516392
TARGET.20.PAVLKB.09A,0.0799544510666321,0,0.144591018489761,0.121877700251894,0.0572394033075855,0.156293463519568,0.0348875006137975,0.0961666124884173,0.0935843868491846,0.0484020072647611,0.109344318762595,0.0576591373858037,0,0.741411267974503,0.727746426047111
TARGET.20.PAUNVN.09A,0.124856802779662,0,0.150805986227338,0.128153768301092,0.0825424312333686,0,0,0.0603805029870669,0.156961452115015,0.0668020753122425,0.142828023662024,0.0866689573821916,0,0.592249643454683,0.831720724472817
TARGET.20.PATENX.09A,0.0490296794189764,0.168768732733865,0.0577201192512364,0.0859716920096693,0.155293064850713,0.141755688371137,0,0.092749245581107,0.0314219726977533,0.065266571093334,0.0474203939483915,0.104602840043817,0,0.716807981345042,0.751707800268086
TARGET.20.PAVRCS.09A,0.123914632484494,0.0106237863768709,0.16311062823905,0.173189864211966,0.0702394839211311,0.0676498962440967,0.040009889314801,0.069478645253343,0.057180669177304,0.0318326069360503,0.0980764329751043,0.0946934648657875,0,0.605138533943606,0.822799936023831
TARGET.20.PASAYA.09A,0.0567606232781141,0.0647801758789333,0.119132273061846,0.0711453462663107,0.118735241373253,0.150563513182364,0,0.0705551508444704,0.144559436698431,0.0915051461365091,0.0670407031568377,0.04522239012293,0,0.761545298670031,0.725322264981993
TARGET.20.PAVJIT.09A,0.0711170075949626,0.0380632537316496,0.139131741745672,0.137054579578102,0.122495537481989,0.0258949577840759,0.0185263190200408,0,0.180606195239432,0.0521139884030986,0.137248847227066,0.0777475721939116,0,0.616996406968445,0.825019694138826
TARGET.20.PAWMNN.09A,0.130076569435429,0.0359190010646881,0.0890338843555705,0.115231383539842,0.00627747158973467,0.171897077089955,0,0.111818526247217,0.0836830589101646,0.0511136552690994,0.0899783112772689,0.11497106122103,0,0.821050665304415,0.671698319978838
TARGET.20.PAVXNZ.09A,0,0.0427837954651318,0.160535615339938,0.17260568777847,0.182964847568505,0,0.0644279548841077,0,0.115849458865954,0.00237242238081391,0.104311487238076,0.154148730479004,0,0.458922331048917,0.891837695344392
TARGET.20.PARGMH.09A,0.0456771422168885,0.217088252771934,0.0823121207878924,0.0210428013856592,0.0937681591679558,0.125283302307744,0.0427027571613831,0.147971611538599,0.0661929959336237,0.0839125977578001,0.0423807598787526,0.0316674990917675,0,0.399769733906816,0.917587970082492
TARGET.20.PARGTL.09A,0.0278202681688466,0.0598210929644455,0.134736549572552,0.0880380028955892,0.161785608595818,0.204104225232008,0.0262350097307777,0.0802032653961009,0.102080847936927,0.0297285201184914,0.0468002264386926,0.038646382949751,0,0.780946525096215,0.688397712044232
TARGET.20.PASCFS.09A,0.0804339085656854,0.0388759190405065,0.105249169749506,0.149348127343692,0.033504422551908,0.176363273956405,0.0168056038033404,0.0650608814159267,0.114669637743114,0.0487471268122566,0.0970877203241972,0.0738542086934627,0,0.737461475530845,0.731544644850099
TARGET.20.PAWUEW.09A,0.0739081883472468,0.0582227306019951,0.11646195489057,0.108505714320065,0.093438816922695,0.16067612726201,0.0128364650976543,0.0936145281425445,0.0864253598473304,0.048034896406596,0.067612733898416,0.0802624842628769,0,0.801455999521274,0.697451918080799
TARGET.20.PAUNVK.09A,0.0650882065613755,0,0.231015202208837,0.122969172914016,0.0787729963863969,0.128456371361233,0.0105161090874101,0.0509878463192511,0.0853641257633305,0.0606827761533241,0.116597035077175,0.04955015816765,0,0.677976103017764,0.774557458269322
TARGET.20.PAUWYR.09A,0.107176085760578,0.122817572760281,0.101645718930032,0.190230196663742,0.0321606109308948,0,0.0390067099831924,0.0835489372065868,0.084182406951326,0.0514277943760626,0.122680293535711,0.065123672901593,0,0.62992632538041,0.81529852886838
TARGET.20.PASKZW.09A,0.0779510983596947,0.0302250495497619,0.117869089925411,0.0995811494868802,0.0737047469424601,0.165544732158462,0.0171591378764759,0.0921334446745792,0.132752107810497,0.0529043377669318,0.0691705460928006,0.0710045593560459,0,0.800133019958235,0.696005203618877
TARGET.20.PAWJJY.09A,0.0486751608259718,0.14190231463583,0.1506251111368,0.186133759023095,0.178282152457507,0,0,0.0268948231279151,0.110828700873769,0.0444267648485481,0.09998518112611,0.0122460319444546,0,0.657929316718351,0.81035039738423
TARGET.20.PAKTLL.09A,0.0612267892338689,0.131679512727893,0.0710925857156404,0.0789702686448977,0.11591360333311,0.19100065602791,0,0.0857131300979912,0.104892225546985,0.0335066323500621,0.0712438442848606,0.0547607520367817,0,0.747897813628883,0.72035863924049
TARGET.20.PASIZB.09A,0.0855490436098409,0.0393996300324597,0.127195283890826,0.0886254600270977,0.101398166205279,0.0665276671925929,0.0323084447959226,0.0523666977022099,0.132678912907004,0.0652360897233492,0.0960257115714702,0.112688892341949,0,0.702729247428245,0.779515674223808
TARGET.20.PANSDI.09A,0.0378542644797035,0.214467119265989,0.101836883818621,0.064520092846539,0.218338749043891,0,0.0260457532055284,0.101955357366474,0.0830592370326661,0.0720569322430945,0.0399525658427323,0.0399130448547614,0,0.459758178194354,0.894359012633425
TARGET.20.PASSDX.09A,0.0075707359328986,0.186360999129973,0.0451928955166513,0.0551501896288758,0.129172911313188,0.148107243589663,0.0235760167417191,0.101119420809018,0.09784353498134,0.068794919966015,0.0827274656164303,0.0543836667742272,0,0.674573961895228,0.771561489172022
TARGET.20.PAWMGT.09A,0.0749720621297879,0.145725255377784,0.0353613299652201,0.170167979770706,0.0785368581019075,0.00661628530660685,0.0155475825899427,0.0498857466995599,0.101035271270459,0.0643047369297322,0.0826143801436495,0.175232511714644,0,0.668046648061358,0.794386363917975
TARGET.20.PATISD.09A,0.0889633244118834,0.0575131806866902,0.137342298452189,0.174770857710097,0.112084741773877,0,0.00236286247933044,0.0478077247224579,0.10093053260168,0.0721672420127406,0.108792261052149,0.0972649740969064,0,0.562889430450261,0.849565993997356
TARGET.20.PAVFWI.09A,0.0781980863287744,0,0.137614128046126,0.115425029495202,0.0812214427995836,0.170946794810357,0.0127881650001158,0.0744955853755161,0.0988105838235351,0.0399942780206878,0.0868030366419455,0.103702869658157,0,0.740017631226317,0.728286666620442
TARGET.20.PAVZBM.09A,0.0567001544255387,0.0858977596305285,0.110723069586198,0.131024465100687,0.0641454578863223,0.153364186162894,0.0180283636065098,0.0796483383388342,0.0595657963937497,0.0545402538874246,0.107021238030971,0.0793409169503417,0,0.785260876314749,0.706907186405926
TARGET.20.PAVSVU.09A,0.0843500563942859,0.0180712537448632,0.196092441514301,0.117919262478625,0.14152320193197,0,0.00197823368979571,0.0402201268304542,0.117050483183073,0.0560274019827242,0.164016311981871,0.0627512262680371,0,0.595885300560133,0.831349605667191
TARGET.20.PAURDN.09A,0.127911664742827,0,0.118856150709529,0.0972821827607989,0.046967353689823,0.138928622879212,0.00722457492932308,0.118844493054739,0.0802150680317327,0.056905113639043,0.0990774422091786,0.107787333353792,0,0.745979654870122,0.728651660261119
