"subset","term","NES","padj","size"
"Naïve CD4 T","cellular response to laminar fluid shear stress",-1.77408421885818,0.223068446451424,14
"Naïve CD4 T","cellular response to leucine starvation",0.947917185195637,0.842649657691908,10
"Naïve CD4 T","cellular response to light stimulus",1.20672876101074,0.577560593381739,64
"Naïve CD4 T","cellular response to lipid",0.968351756157577,0.845906487985377,282
"Naïve CD4 T","cellular response to lipoprotein particle stimulus",-0.825464295865428,0.896445560841151,18
"Naïve CD4 T","cellular response to l leucine",0.991072014513434,0.822076978939724,10
"Naïve CD4 T","cellular response to metal ion",-1.35868205614673,0.360344640574967,75
"Naïve CD4 T","cellular response to molecule of bacterial origin",-1.13725672360628,0.591400816959072,99
"Naïve CD4 T","cellular response to nitrogen compound",0.770236767816021,0.986985553085345,296
"Naïve CD4 T","cellular response to nutrient",1.25119393299908,0.5679143780443,21
"Naïve CD4 T","cellular response to nutrient levels",1.15029097624794,0.627598541751557,148
"Naïve CD4 T","cellular response to osmotic stress",0.969246136162648,0.822076978939724,36
"Naïve CD4 T","cellular response to oxidative stress",-1.54357866582136,0.106091810043914,139
"Naïve CD4 T","cellular response to oxygen levels",-1.33520914560249,0.324557151321907,93
"Naïve CD4 T","cellular response to oxygen radical",-1.27804579998469,0.564848065755664,10
"Naïve CD4 T","cellular response to peptide hormone stimulus",0.941010530534047,0.860455795569192,166
"Naïve CD4 T","cellular response to prostaglandin e stimulus",-1.15991682225002,0.674619092523539,10
"Naïve CD4 T","cellular response to prostaglandin stimulus",-1.17419635572108,0.637542689381079,13
"Naïve CD4 T","cellular response to radiation",1.20377784487699,0.53353083759763,101
"Naïve CD4 T","cellular response to reactive nitrogen species",0.663882873333494,0.955122578590317,10
"Naïve CD4 T","cellular response to reactive oxygen species",-2.00285674699203,0.0184906016774374,75
"Naïve CD4 T","cellular response to retinoic acid",1.40155979632847,0.39919190953212,19
"Naïve CD4 T","cellular response to starvation",1.08995923919341,0.70561835106383,116
"Naïve CD4 T","cellular response to steroid hormone stimulus",1.05522318114932,0.764142789176479,119
"Naïve CD4 T","cellular response to sterol depletion",0.796772947801222,0.911384914381108,11
"Naïve CD4 T","cellular response to topologically incorrect protein",1.04718391791686,0.778401099125325,86
"Naïve CD4 T","cellular response to toxic substance",-1.77683701566291,0.110710462286863,52
"Naïve CD4 T","cellular response to type ii interferon",0.994410249018369,0.812860593885158,60
"Naïve CD4 T","cellular response to unfolded protein",1.09900309326634,0.718274111675127,74
"Naïve CD4 T","cellular response to uv",1.12798455392336,0.678327619163203,57
"Naïve CD4 T","cellular response to vascular endothelial growth factor stimulus",-0.884463473606826,0.860541198774457,25
"Naïve CD4 T","cellular response to virus",1.45099885095144,0.327741709071767,39
"Naïve CD4 T","cellular response to xenobiotic stimulus",0.978614009020996,0.813365772643172,51
