names,scores,logfoldchanges,pvals,pvals_adj,pct_LS10,pct_other,spec
TNFRSF1A,12.101821,0.62642324,1.0329434555884297e-33,2.061815455220525e-32,69.55148452305748,42.3125,27.238984523057482
SYPL1,11.891614,0.61994666,1.308534032351561e-32,2.505824345146064e-31,70.75173720783323,45.6,25.15173720783323
CD151,11.656389,0.6173641,2.128792003867688e-31,3.8835187550210665e-30,57.23310170562223,33.475,23.75810170562223
PIGT,12.158945,0.6169639,5.141830671379019e-34,1.0346468104454059e-32,58.68603916614023,33.0875,25.598539166140235
CD34,9.908074,0.6137501,3.839765296725504e-23,4.915834354131819e-22,59.1282375236892,38.6125,20.515737523689204
SIRPA,6.8396974,0.6114985,7.936074174389785e-12,5.430928037358935e-11,21.351863550221097,9.4875,11.864363550221096
BSG,10.867918,0.6097452,1.6389756438127028e-27,2.5364701729316454e-26,90.39797852179406,67.2625,23.135478521794056
CD47,11.712276,0.6093288,1.102789750543492e-31,2.0348777677707377e-30,73.27858496525585,47.425,25.85358496525585
LDLRAD4,6.9108367,0.60561275,4.818032712261722e-12,3.340616697502765e-11,25.205306380290587,13.05,12.155306380290586
SLC22A16,9.576016,0.6054841,1.0086012657098917e-21,1.2075836345053721e-20,34.11244472520531,16.2,17.912444725205308
TXNDC15,6.3683634,0.5851929,1.9105561015781846e-10,1.1917442325218304e-09,22.994314592545802,11.700000000000001,11.2943145925458
MFSD6,5.700192,0.58007467,1.1967270160835326e-08,6.528737365359677e-08,18.951358180669615,9.0125,9.938858180669616
TMEM9,9.509073,0.5746462,1.9236885545751655e-21,2.2743271601129476e-20,37.081490840176876,19.075,18.006490840176877
SVOPL,4.8320947,0.57371813,1.3510408091358558e-06,6.275787662073911e-06,16.55085281111813,8.25,8.30085281111813
SLC2A1,4.656023,0.57246965,3.2237587771557687e-06,1.4559357146176986e-05,15.476942514213517,7.5375,7.939442514213518
PVR,2.750931,0.55840194,0.00594261424064073,0.020109730110699345,8.780795957043589,4.237500000000001,4.543295957043588
PIGO,5.4198,0.5532878,5.966578104804144e-08,3.0721529816225595e-07,18.31964624131396,8.9375,9.382146241313961
ROBO3,4.354969,0.5463665,1.3308581577622758e-05,5.69897387757081e-05,14.339861023373343,6.925000000000001,7.4148610233733425
EMP1,4.96536,0.54305434,6.857375540758561e-07,3.273202854557228e-06,17.49842072015161,8.975,8.523420720151611
STT3B,10.699364,0.5424393,1.0247909328779259e-26,1.5355579644098498e-25,74.54200884396715,49.275000000000006,25.267008843967147
RELL1,7.877542,0.53958565,3.338839227876464e-15,2.7955877993113833e-14,30.259001895135818,15.825,14.434001895135818
EMB,10.463185,0.53921086,1.2749623396095744e-25,1.8311512678027007e-24,71.50979153506,47.0875,24.422291535060005
OPN3,5.1510415,0.5342348,2.590436013873266e-07,1.2756719473325827e-06,17.37207833228048,8.4875,8.88457833228048
PTPRA,9.873714,0.5307446,5.412225371658579e-23,6.867875406653156e-22,43.90397978521794,23.7625,20.141479785217943
SLC5A3,7.8052044,0.530681,5.9405229751780956e-15,4.901917359059149e-14,29.69046114971573,15.312500000000002,14.377961149715729
TMEM123,9.94737,0.5213186,2.5893566936612687e-23,3.3479218981021775e-22,78.07959570435882,53.2875,24.79209570435882
SPN,8.861692,0.5200716,7.880847009429767e-19,8.18805631914386e-18,86.03916614024006,61.8375,24.201666140240057
IGSF8,7.2893596,0.518134,3.11432341852155e-13,2.3211852876230664e-12,28.237523689197726,14.762500000000001,13.475023689197725
CD200,7.744023,0.5180253,9.631956743535538e-15,7.862551913693219e-14,29.437776373973467,14.9875,14.450276373973466
EPHB6,7.4612947,0.51500785,8.567656285721532e-14,6.614656374628487e-13,29.5641187618446,15.687499999999998,13.876618761844602
TNFRSF21,3.4209523,0.5087142,0.0006240227321512249,0.002314775587819777,12.192040429564118,6.4125000000000005,5.7795404295641175
KCNK5,2.722518,0.5077277,0.0064786497661715285,0.021807626354717703,8.780795957043589,4.2625,4.5182959570435886
ADIPOR2,8.458466,0.50554496,2.7091747738024504e-17,2.56349804029072e-16,32.91219204042957,16.8375,16.074692040429568
TMEM179B,10.786328,0.5053681,3.994300771288571e-27,6.105542140394481e-26,69.42514213518636,43.4,26.025142135186364
SLC12A4,2.9247205,0.50474954,0.0034476563976228868,0.011952283449466972,9.41250789639924,4.55,4.862507896399241
TCIRG1,11.298867,0.50457585,1.3292150027689335e-29,2.252088814480747e-28,57.99115603284902,33.037499999999994,24.953656032849025
PKD2,8.547469,0.50276524,1.2581731272185744e-17,1.21791158714758e-16,34.11244472520531,17.7625,16.349944725205308
