names,logfoldchanges,pvals_adj
TAF9B,0.62595135,0.0006548337411001157
ZAP70,0.62582105,0.0015180078406261796
N4BP2,0.62554586,1.1389379203986983e-10
CBX5,0.62295365,1.1554562802434211e-25
TYMSOS,0.62258685,0.0007258087403359505
NRGN,0.62258065,9.006943480846922e-15
CENPS,0.622562,2.562633560454954e-15
DUT,0.6217671,2.27768247437588e-55
RECQL4,0.6213099,1.6620958170428418e-19
HELLS,0.6197305,1.525073233600831e-23
CENPF,0.6194997,1.9077399599627714e-32
RFC1,0.61911434,2.4039489631437238e-23
ZGRF1,0.6178945,7.937232818348438e-09
TUBA4A,0.61717397,3.5071092577345295e-06
GK,0.61644197,4.315076718970791e-05
PLEKHG2,0.61572725,0.0004889464473408477
GINS3,0.61522424,1.7132375084294266e-05
EGFL7,0.6142869,3.9036804437772044e-19
RTTN,0.61422795,6.357688831914409e-05
CD34,0.6124607,3.2049476170006624e-14
OAS3,0.6124501,0.000409690638913516
USP37,0.6119699,3.028291200391922e-11
NUP160,0.6113498,5.845066510205655e-13
JPT2,0.610794,2.733152105560159e-12
GTDC1,0.6098898,0.00040048048933077717
INAFM1,0.6079525,5.735300238542447e-17
KIF22,0.60703653,1.7344336273621256e-29
DEPDC1B,0.6063426,9.113520443864439e-08
RBBP4,0.60546815,2.1868831022439516e-39
CDC25C,0.60460216,0.0021296620632727387
PPP1R15A,0.60445046,1.020957618837239e-29
CEP85,0.603483,2.9065677727502854e-08
SNAI1,0.60228086,0.0004470352143613989
PAQR4,0.6018608,2.6745403641166176e-16
NFKBID,0.60158813,1.321077520868738e-06
CLN6,0.60118115,9.377801693009383e-25
CDCA2,0.6006347,3.159226177849589e-12
MSH5,0.5978449,2.3910591889307735e-14
ITGB1,0.59776413,2.5698333509055703e-18
MCTP2,0.59730405,2.886517893631858e-09
ORC6,0.5968413,2.4035835555994586e-19
NDC1,0.5943828,1.4701692457842864e-08
GABPB1,0.59413946,2.1877655335154842e-07
IQGAP1,0.5940346,4.0660667434721926e-24
BUD13,0.5900162,4.212038886498812e-08
CDK11B,0.5884867,4.4519244349960253e-07
BARD1,0.5879985,6.388734530573408e-16
CTDSPL2,0.5878124,3.62015444706216e-11
ACAT2,0.5869005,2.8519932484895316e-15
VSIG10,0.58509284,0.00026625531973071496
RFC2,0.5850772,1.919693129565395e-21
CDK5RAP2,0.5848265,1.2434118297029253e-14
TMEM107,0.58455396,8.325716352251357e-17
FMR1,0.5838737,0.0018098837733269185
DDX11,0.5830829,7.320797179803824e-21
ORC1,0.58255553,9.485469739144712e-09
ARID5A,0.5818656,1.719409265468141e-08
MOV10,0.5815226,8.32469974239336e-08
LMNB1,0.58139455,6.400621539061069e-29
TPSAB1,0.5813885,0.0007930169808371998
LIN52,0.57757944,0.0006056697995839576
SKA2,0.5774139,1.257373804219736e-13
FOS,0.57718515,6.211476120233118e-23
NUP107,0.57664686,2.2578956816469197e-17
CXCL2,0.5762641,0.00032785721543176236
POLA1,0.57620555,5.947885506623573e-09
MELTF,0.57590204,0.01921742846069347
SYT11,0.5757224,0.047404791734902973
TACC1,0.5756013,6.808173134987072e-18
SPICE1,0.5752144,0.00034776553078264726
INKA1,0.57503897,1.1894404878251357e-11
MCM7,0.57490164,3.568375707061548e-34
TMIGD2,0.57471585,3.8800177443231684e-07
KIF2C,0.57463706,4.62842961464391e-13
FBXO43,0.57355976,0.030140594223745407
CDCA7,0.57352185,2.881006675936931e-20
SIPA1L1,0.5731875,0.0312957816097337
MCM3,0.5726708,1.8475858919097683e-21
SENP7,0.5725968,0.0003113017034078514
CEP57,0.57256645,1.00610098133647e-24
CENPP,0.5725425,6.988719941106589e-07
MIS12,0.57158875,0.000175913968138044
GINS4,0.5714735,4.264376060284575e-07
AP002490.1,0.5713921,0.01832839908472391
ZNF548,0.5708662,0.04723114042635376
TNFRSF1A,0.56984496,9.424460196093592e-21
ZNF143,0.5695992,0.0025100425301594702
