names,scores,logfoldchanges,pvals,pvals_adj
EIF4A3,11.308226,0.6323924,1.1948131463557876e-29,2.284850370646529e-27
ACYP1,11.303711,0.73444635,1.2578751091679505e-29,2.3887397732851926e-27
HIST1H3F,11.283547,1.6131296,1.582343931583224e-29,2.984191527798265e-27
NCAPH2,11.253917,0.81940484,2.2153007256722392e-29,4.149288605769387e-27
IGLL1,11.24668,1.024432,2.4047260481008259e-29,4.473444796691509e-27
DDB2,11.152391,0.7244196,6.970736143704856e-29,1.2879848012550878e-26
SIVA1,11.077124,0.4383763,1.6199339405869826e-28,2.97306802277125e-26
MCM10,11.066291,0.87044334,1.8281112279310646e-28,3.3327686426001926e-26
RFWD3,11.044369,0.8490938,2.334034961893836e-28,4.226921858804559e-26
POLQ,10.961203,0.90644956,5.871368251859804e-28,1.0563055014168303e-25
CBX5,10.952488,0.62295365,6.464741127669255e-28,1.1554562802434211e-25
YEATS4,10.84163,0.7040091,2.1854128278527372e-27,3.8806687786013606e-25
RBBP8,10.813893,0.7135791,2.95840732208249e-27,5.219393976107598e-25
SHCBP1,10.796395,0.9484564,3.5798145567194094e-27,6.2752313376954465e-25
CLN6,10.758846,0.60118115,5.384022766775665e-27,9.377801693009383e-25
CEP57,10.751778,0.57256645,5.813060595742056e-27,1.00610098133647e-24
KIF23,10.739925,0.7642339,6.609785585233652e-27,1.1367999787031412e-24
PIDD1,10.726438,0.9363138,7.64881345340941e-27,1.3072778293558356e-24
POLD3,10.720164,0.7629795,8.185757228200739e-27,1.3903584916917852e-24
CDC6,10.69618,0.80671406,1.0606028637612311e-26,1.7903238217539895e-24
ARL6IP6,10.6745825,0.6394075,1.338576312255323e-26,2.2456875972352184e-24
FANCD2,10.659236,0.7810563,1.5788973898334386e-26,2.6327151233161716e-24
APOBEC3B,10.642858,1.2628288,1.8826448974843497e-26,3.120170143430729e-24
MFGE8,10.631902,0.93794996,2.1174889723505382e-26,3.488244183005893e-24
HAT1,10.631196,0.6347917,2.1335757125808624e-26,3.4936982895949856e-24
LUC7L2,10.62005,0.5325789,2.404317357764065e-26,3.913598956274769e-24
IQGAP1,10.615928,0.5940346,2.5128548220829392e-26,4.0660667434721926e-24
CCP110,10.537804,0.85426617,5.78339066488927e-26,9.251995033559441e-24
RALY,10.53777,0.4709722,5.785457290787188e-26,9.251995033559441e-24
CDKN1A,10.491762,1.0661508,9.425378188122085e-26,1.4985255344906195e-23
HELLS,10.489555,0.6197305,9.648126578400635e-26,1.525073233600831e-23
SPARC,10.487864,0.8140968,9.822387928106628e-26,1.5436955188620912e-23
DTL,10.474993,0.68598264,1.1254647320546472e-25,1.7586833464437933e-23
HIST1H2AE,10.472954,1.4720469,1.149976722679799e-25,1.7867763328637378e-23
RFC4,10.463152,0.6690359,1.2754117330849545e-25,1.9704750990362242e-23
SRSF10,10.448163,0.5158829,1.493904243802086e-25,2.2950733399444854e-23
RFC1,10.443234,0.61911434,1.5735641936763204e-25,2.4039489631437238e-23
CENPH,10.421289,0.6340854,1.9824779874345815e-25,3.0118246135770035e-23
NUCB2,10.392399,0.41440436,2.6851432845750938e-25,4.056791616574061e-23
NEIL3,10.369971,0.912723,3.396255541151302e-25,5.075082187340082e-23
GGH,10.359699,0.64101905,3.7814939444826087e-25,5.620039859012033e-23
BRIP1,10.358019,0.9454278,3.84850524262333e-25,5.688714830528518e-23
DSCC1,10.35244,0.8911216,4.079534044718075e-25,5.997792364884972e-23
FOS,10.348576,0.57718515,4.247590267255149e-25,6.211476120233118e-23
