sample,HSC_program,CellCycle_program
TARGET.20.PARMMN.09A,-0.16738430132739196,-1.2064518629253198
TARGET.20.PAWYEM.09A,-0.10842697711212775,0.1631832543221283
TARGET.20.PARCVP.09A,-0.44809471946003254,-1.487001256619084
TARGET.20.PASSPT.09A,0.7261430555745653,0.5308627811074692
TARGET.20.PATVAV.09A,-0.0003866350866160495,-1.0840367276956335
TARGET.20.PAVACZ.09A,0.4689308074441777,0.0022375092368497698
TARGET.20.PAVBIY.09A,0.36316032155760086,-0.15279746376867553
TARGET.20.PAWNYM.09A,0.30586707523860684,-0.9184576733047233
TARGET.20.PANKFZ.09A,-0.44504069680075525,-0.15681081181570053
TARGET.20.PAWZVT.09A,-0.14916719896923863,1.2647967493097714
TARGET.20.PATGUB.09A,-0.013013585716685695,-0.1295876779308734
TARGET.20.PASANH.09A,0.0018988066996805317,-1.2687152930675234
TARGET.20.PAXBXU.09A,0.522994725756027,0.35387331720455073
TARGET.20.PAVSEJ.09A,-0.05287645311759641,0.8600644550273989
TARGET.20.PAPAEG.09A,0.2034661237708492,0.31500390672937495
TARGET.20.PALWFK.09A,0.6178610559470148,-0.236494815464759
TARGET.20.PAWGTG.09A,-0.0082016752728715,0.17801329532091928
TARGET.20.PASGGK.09A,0.8742041636795337,-0.3130344375878873
TARGET.20.PATLFJ.09A,0.6174511138016463,1.233059988825342
TARGET.20.PATCTM.09A,0.826845345368643,-0.8779864960119378
TARGET.20.PAXKZA.09A,-0.2604540813522047,0.14333252931156973
TARGET.20.PAXISV.09A,0.036764046297353345,-0.9155552022162552
TARGET.20.PANGJY.09A,-0.5682008191704302,0.5004837154150725
TARGET.20.PARYCU.09A,-0.41425133550788684,0.542449584069601
TARGET.20.PATJKC.09A,-0.7786966117895713,0.006227864423510939
TARGET.20.PASDET.09A,0.20454785211637358,-0.44761081699149446
TARGET.20.PAURUT.09A,-0.3219489210121095,1.2049162527678303
TARGET.20.PAXHZD.09A,-0.09766750395669735,-0.3136648215494574
TARGET.20.PAWPET.09A,-0.2222862245648523,0.42252482904060085
TARGET.20.PAXMBS.09A,-0.3714942796649055,0.2587169292311755
TARGET.20.PAXFEA.09A,0.04970791596774565,-1.3607935392538444
TARGET.20.PARUTH.09A,0.7905565824528761,-0.7239359896943867
TARGET.20.PASYTG.09A,0.0282436180881958,0.2209053148378901
