sample,LS_1,LS_2,LS_3,LS_4,LS_5,LS_6,LS_7,LS_8,LS_9,LS_10,LS_11,LS_12,LS_13,LS_14,LS_15,LS_16,LS_17,LS_18,LS_19,LS_20,LS_21,LS_22,LS_23,LS_24,LS_25,LS_26,LS_27,LS_28,LS_29,LS_30
TARGET.20.PAVPZJ.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07145698163581185,0.40480065490487743,0.0,0.0,0.0,0.0,0.0,0.04622161480063379,0.4715662021648945,0.0,0.0,0.0,0.0,0.0,0.005954546493782404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAWLRX.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12592375646360068,0.2187341748279525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633224269870376,0.0,0.0,0.0014954355478569476,0.0,0.0,0.020622363290213788,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAUNHG.09A,0.0,0.0,0.0,0.0,0.016123509744402062,0.0,0.0,0.24569606578614123,0.19324330678813473,0.0,0.0,0.0,0.0,0.0,0.2164487242770908,0.1312014851753561,0.0,0.0,0.0,0.14864867924248262,0.0,0.01603867160259435,0.0,0.0,0.0,0.032599557383798126,0.0,0.0,0.0,0.0
TARGET.20.PARTYK.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212550116102859,0.41051287866286434,0.0,0.0,0.0,0.0,0.0,0.3115618713094426,0.21588893491262584,0.0,0.0,0.0,0.006439950970245531,0.0,0.00047053445231802667,0.0,0.0,0.03272110814513483,0.0011497099370828252,0.0,0.0,0.0,0.0
TARGET.20.PAXBZH.09A,0.0,0.0,0.0038603506930302775,0.04683633927898317,0.10809810086087382,0.0,0.0,0.022694421791587455,0.12225022493005666,0.0,0.0,0.0,0.0,0.0,0.2694381501450805,0.19876406701946805,0.0,0.0,0.0,0.0,0.09417709829732039,0.002542841032697162,0.0,0.0,0.0,0.13133840595090263,0.0,0.0,0.0,0.0
TARGET.20.PAWCKH.09A,0.0,0.1657839031300525,0.0,0.0,0.0,0.0,0.0,0.07195852024412472,0.0,0.0,0.0,0.0,0.0,0.0,0.47402163451962304,0.2882359421061996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PASKAS.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604117111630791,0.1395882888369208,0.0,0.0,0.0,0.0
TARGET.20.PANZXI.09A,0.0,0.07579934929444221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026194504956997624,0.0,0.2710543784480866,0.0,0.0,0.0,0.0,0.4125338700115039,0.0,0.0,0.21441789728896976,0.0
TARGET.20.PANVGE.09A,0.0,0.06780595279239278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612283398272431,0.0,0.0,0.0,0.07487703476630155,0.0,0.0,0.0,0.1757643559961159,0.005470711615213639,0.11472573855403136,0.12215902283638733,0.0,0.0,0.0,0.0,0.07796884361231424,0.0
TARGET.20.PAYFZE.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05570544336599601,0.17479670955558846,0.0,0.0,0.0,0.0,0.0,0.0,0.6088747066700033,0.0,0.0,0.0,0.002595577989333025,0.0,0.0,0.06933425148064433,0.0,0.08869331093843488,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAUZMH.09A,0.0,0.0,0.0,0.0,0.0,0.0010786049292602017,0.0,0.10176859736949373,0.12219433438648523,0.0,0.0,0.0,0.0,0.0,0.13794284403420695,0.2868161268032988,0.0,0.0,0.0,0.0,0.0,0.018790586099193828,0.04723704709168323,0.0,0.0,0.28417185928637806,0.0,0.0,0.0,0.0
TARGET.20.PAELYU.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04748763387805221,0.23509041473778677,0.0,0.0,0.0,0.0,0.0,0.0012042895546162113,0.4869548788595071,0.0,0.0,0.0025715634597994856,0.00524958385087322,0.0,0.005415824614660804,0.0,0.0,0.029319819929086093,0.18670599111561803,0.0,0.0,0.0,0.0
TARGET.20.PAWPLE.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24819011452508047,0.47407447914982054,0.0,0.0,0.0,0.0,0.0,0.15920542741617427,0.0,0.0,0.0,0.0,0.1026462817059438,0.0,0.01588369720298097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PATIAB.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06324710218286686,0.12009239710981529,0.0,0.0,0.0,0.0,0.0,0.0,0.5130184407966668,0.0,0.0,0.0,0.0,0.0,0.017308325759737644,0.0,0.0,0.23310595456261743,0.0,0.0,0.0,0.05322777958829587,0.0
TARGET.20.PASUUD.09A,0.0,0.19177350218690853,0.00881136163250515,0.0,0.0,0.0,0.0,0.022831044187315037,0.08975792264274908,0.0,0.0,0.0,0.0,0.0,0.0,0.20556551439894438,0.0,0.017028154086332063,0.0,0.0,0.21699174867376275,0.006459990021981873,0.0,0.0,0.0,0.23403456130908953,0.0,0.0,0.006746200860411511,0.0
TARGET.20.PAKFXY.09A,0.0,0.0,0.04031301787846473,0.0,0.0,0.0,0.0,0.1585574591471932,0.21479759125191697,0.0,0.0,0.0,0.0,0.0,0.1404525715460195,0.22345478163581622,0.0,0.0,0.0,0.0,0.0,0.0017412010356858357,0.0,0.0,0.0,0.22068337750490336,0.0,0.0,0.0,0.0
TARGET.20.PAWKRF.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1514166980978913,0.0,0.0,0.0,0.0,0.0,0.3067573324318451,0.21842018496951074,0.0,0.0,0.010131447909188525,0.0,0.0,0.0007969405429608127,0.0,0.0,0.0,0.3124773960486036,0.0,0.0,0.0,0.0
TARGET.20.PAVUEF.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041094859133143063,0.21687647344485042,0.0,0.0,0.0,0.0,0.0,0.0,0.5524339821453479,0.0,0.0,0.0,0.0,0.006824440987992676,0.005457135349061422,0.0,0.0,0.0,0.030242227118095013,0.0,0.0,0.1470708818215096,0.0
TARGET.20.PAKLTN.09A,0.0,0.0,0.0,0.17360508171377495,0.04589333658780439,0.0,0.0,0.06951326413310854,0.07483593267750843,0.0,0.0,0.0,0.0,0.0,0.0,0.39851403657515394,0.0,0.0,0.0,0.0797142016565334,0.0,0.007878130083717603,0.0,0.0,0.05514526616915257,0.09490075040324618,0.0,0.0,0.0,0.0
