res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_cyto
4.0,49,531,0.78361862596562,0.1959095151405418,0.5706214689265536,AML4116,18,NUP98/NSD1(57%)
4.0,50,1140,0.9294816362278049,0.01453851802892967,0.9245614035087719,AML882,8,t(7;14)(q21;q32)(92%)
4.0,51,530,0.9810100278524466,0.013981254145933049,0.9754716981132076,AML4127,2,Tri(8)(98%)
4.0,52,942,0.26754426685007954,0.05578767982530328,0.3619957537154989,AML3121,29,t(2;3)(p15;q26.2)(36%)
4.0,53,406,0.266227132295198,0.12820509490797177,0.687192118226601,AML3121,20,t(2;3)(p15;q26.2)(69%)
4.0,54,946,0.2357228629737463,0.07648334299622887,0.22727272727272727,AML4304,27,MLLr(31%)
4.0,55,608,0.27929695801047,0.1306867842030521,0.5476973684210527,AML4090,25,Tri(8)/MLLr(56%)
4.5,0,1666,0.41377324598358634,0.09769867473984725,0.20168067226890757,AML4304,30,MLLr(33%)
4.5,1,1089,0.46045194407339674,0.08535611626026207,0.43434343434343436,AML3121,24,t(2;3)(p15;q26.2)(43%)
4.5,2,1387,0.28965975664855964,0.07556265894900639,0.3136265320836337,AML4192,26,MLLr(40%)
4.5,3,62,0.24533106935268517,0.1887583564870269,0.5806451612903226,0_HealthyBM1,11,0_HealthyBM1(58%)
4.5,4,540,0.4232135648322576,0.24619594447168935,0.44074074074074077,AML4035,26,MYB/GATA1(44%)
4.5,5,831,0.5438753739230703,0.10806847567454098,0.7388688327316486,AML647,23,del7q(74%)
4.5,6,1104,0.6302218288262458,0.061405906682899664,0.6240942028985508,AML3371,20,Tri(15)(62%)
4.5,7,575,0.1616130189607669,0.048819155082479464,0.3356521739130435,AML4068,22,CN(51%)
4.5,8,590,0.3358100391916881,0.09625906153228417,0.6491525423728813,AML3121,20,t(2;3)(p15;q26.2)(65%)
4.5,9,1041,0.8549063128819316,0.03176297156117786,0.8011527377521613,AML4264,17,RUNX1/RUNX1T1(81%)
4.5,10,1415,0.709480574258996,0.06990299996126367,0.6593639575971731,AML4363,26,BCR/ABL(66%)
4.5,11,2432,0.7577304861809508,0.11731187738275624,0.37787828947368424,AML4271,21,CBFB/MYH11(94%)
4.5,12,2569,0.6842384733633536,0.03934225631445127,0.15648112105877773,AML4363,30,BCR/ABL(16%)
4.5,13,1064,0.5994437821889982,0.12950248950719995,0.20864661654135339,AML3082,23,CBFB/MYH11(39%)
4.5,14,406,0.6888522758264166,0.15726901949885583,0.8817733990147784,AML4232,12,RUNX1/RUNX1T1(89%)
4.5,15,2386,0.5783088713203198,0.11164973637571685,0.09597652975691534,AML335,30,CN(26%)
4.5,16,726,0.7474058487284999,0.04247754539122517,0.3402203856749311,AML4271,24,CBFB/MYH11(55%)
4.5,17,734,0.2501498794256807,0.11541137659634941,0.19618528610354224,AML3492,27,PML/RARA(25%)
4.5,18,1703,0.6710501172198179,0.10873590229686667,0.48502642395772166,AML3210,28,MLLr(59%)
4.5,19,991,0.36972468823487026,0.14233093098445174,0.4328960645812311,AML4090,27,Tri(8)/MLLr(47%)
4.5,20,768,0.3443959259638875,0.12819381995751264,0.2955729166666667,AML948,20,CN(58%)
4.5,21,1394,0.8970788579236426,0.054152094416646125,0.3464849354375897,AML3082,23,CBFB/MYH11(68%)
4.5,22,1667,0.22316412757044538,0.07499434058080948,0.22855428914217157,AML4192,27,MLLr(29%)
4.5,23,1809,0.19920343734788787,0.07686694580937825,0.11387506909894969,AML4192,30,MLLr(18%)
4.5,24,805,0.2372511184824803,0.07605425829950521,0.1453416149068323,AML1355,25,PML/RARA(29%)
4.5,25,1556,0.3859949240755275,0.11107436468560768,0.30398457583547556,AML1355,25,PML/RARA(50%)
4.5,26,369,0.537272372985403,0.29481552379938114,0.8346883468834688,AML4116,10,NUP98/NSD1(83%)
4.5,27,1148,0.9319315809891879,0.010456336192480854,0.9277003484320557,AML882,8,t(7;14)(q21;q32)(93%)
4.5,28,1251,0.7953179674784074,0.08475406294759072,0.10471622701838529,AML4035,30,CBFB/MYH11(19%)
4.5,29,677,0.13228180491304015,0.037896359759773,0.16248153618906944,AML4304,26,MLLr(25%)
4.5,30,863,0.41134995631531046,0.18558297256466066,0.27578215527230593,AML4239,22,CBFB/MYH11(72%)
4.5,31,1857,0.43067319487624234,0.061251620904246226,0.3602584814216478,AML4000,27,MLLr(38%)
4.5,32,992,0.5344564585840947,0.17431255304500257,0.2973790322580645,AML3082,21,CBFB/MYH11(75%)
4.5,33,1305,0.33523192574542965,0.09584205198604007,0.22375478927203066,AML1355,28,PML/RARA(30%)
4.5,34,1583,0.6971450575136717,0.03508260251651533,0.15792798483891346,AML4304,30,CN(21%)
4.5,35,1015,0.5119950266007404,0.09830140897308956,0.12512315270935961,AML4192,29,CN(19%)
4.5,36,1392,0.4419748269724056,0.09484800301964,0.47198275862068967,AML4102,23,RUNX1/RUNX1T1(49%)
4.5,37,957,0.8402249582767997,0.08189854607114659,0.5496342737722049,AML4232,23,RUNX1/RUNX1T1(74%)
4.5,38,510,0.2125126697407303,0.08205493386291789,0.1568627450980392,AML4363,27,MLLr(16%)
4.5,39,683,0.24217089601791458,0.1115129585147658,0.26207906295754024,AML4226,26,CN(38%)
4.5,40,12,0.0062450746830826085,0.002646239983457176,0.3333333333333333,AML1355,5,PML/RARA(33%)
4.5,41,261,0.48652959397141293,0.12385067328950188,0.8275862068965517,AML3210,17,MLLr(85%)
4.5,42,1746,0.41414306306932847,0.10019882244955178,0.361397479954181,AML948,23,CN(70%)
