bin,x,y,n_cells
530,-20.9546,11.1650,15
531,-20.9546,11.7651,9
532,-20.9546,12.3652,5
533,-20.9546,12.9654,2
534,-20.9546,14.1656,1
535,-20.9546,14.7658,1
536,-20.9546,15.3659,13
537,-20.9546,15.9660,20
538,-20.9546,16.5662,27
539,-20.9546,17.1663,20
540,-20.9546,17.7664,21
541,-20.9546,18.3666,19
542,-20.9546,18.9667,14
543,-20.9546,19.5668,24
544,-20.9546,20.1670,13
545,-20.9546,20.7671,17
546,-20.9546,21.3672,10
547,-20.9546,21.9674,3
548,-20.3705,-29.0439,1
549,-20.3705,-28.4438,18
550,-20.3705,-27.8436,6
551,-20.3705,-26.6434,2
552,-20.3705,-26.0432,1
553,-20.3705,-25.4431,28
554,-20.3705,-24.8430,39
555,-20.3705,-24.2428,42
556,-20.3705,-23.6427,40
557,-20.3705,-23.0426,37
558,-20.3705,-22.4424,43
559,-20.3705,-21.8423,42
560,-20.3705,-21.2422,47
561,-20.3705,-20.6420,39
562,-20.3705,-20.0419,34
563,-20.3705,-19.4418,31
564,-20.3705,-18.8416,41
565,-20.3705,-18.2415,31
566,-20.3705,-17.6414,29
567,-20.3705,-17.0412,36
568,-20.3705,-16.4411,27
569,-20.3705,-15.8410,37
570,-20.3705,-15.2408,16
571,-20.3705,-14.6407,9
572,-20.3705,-14.0406,1
573,-20.3705,-10.4398,1
574,-20.3705,-9.2395,4
575,-20.3705,-8.6394,3
576,-20.3705,-8.0393,11
577,-20.3705,-7.4391,22
578,-20.3705,-6.8390,42
579,-20.3705,-6.2389,23
580,-20.3705,-2.6381,2
581,-20.3705,-1.4378,1
582,-20.3705,-0.8377,1
583,-20.3705,0.3626,1
584,-20.3705,0.9627,1
585,-20.3705,1.5629,12
586,-20.3705,2.1630,20
587,-20.3705,2.7631,7
588,-20.3705,3.3633,1
589,-20.3705,3.9634,3
590,-20.3705,4.5635,3
591,-20.3705,5.1637,3
592,-20.3705,5.7638,13
593,-20.3705,6.3639,5
594,-20.3705,6.9641,8
595,-20.3705,7.5642,9
596,-20.3705,8.1643,15
597,-20.3705,8.7645,15
598,-20.3705,9.3646,10
599,-20.3705,9.9647,2
600,-20.3705,10.5648,5
601,-20.3705,11.1650,5
602,-20.3705,11.7651,3
603,-20.3705,12.3652,4
604,-20.3705,12.9654,1
605,-20.3705,13.5655,4
606,-20.3705,14.1656,12
607,-20.3705,14.7658,15
608,-20.3705,15.3659,28
609,-20.3705,15.9660,25
610,-20.3705,16.5662,20
611,-20.3705,17.1663,20
612,-20.3705,17.7664,20
613,-20.3705,18.3666,23
614,-20.3705,18.9667,35
615,-20.3705,19.5668,36
616,-20.3705,20.1670,34
617,-20.3705,20.7671,32
618,-20.3705,21.3672,11
619,-20.3705,21.9674,7
620,-20.3705,22.5675,4
621,-19.7865,-28.4438,2
622,-19.7865,-27.8436,1
623,-19.7865,-26.0432,4
624,-19.7865,-25.4431,10
625,-19.7865,-24.8430,33
626,-19.7865,-24.2428,21
627,-19.7865,-23.6427,30
628,-19.7865,-23.0426,35
629,-19.7865,-22.4424,36
630,-19.7865,-21.8423,35
631,-19.7865,-21.2422,47
632,-19.7865,-20.6420,39
633,-19.7865,-20.0419,43
634,-19.7865,-19.4418,28
635,-19.7865,-18.8416,38
636,-19.7865,-18.2415,31
637,-19.7865,-17.6414,34
638,-19.7865,-17.0412,30
639,-19.7865,-16.4411,31
640,-19.7865,-15.8410,29
641,-19.7865,-15.2408,15
642,-19.7865,-14.6407,8
643,-19.7865,-14.0406,8
644,-19.7865,-13.4404,5
645,-19.7865,-12.8403,4
646,-19.7865,-11.6400,2
647,-19.7865,-11.0399,1
648,-19.7865,-10.4398,4
649,-19.7865,-9.8396,11
650,-19.7865,-9.2395,36
651,-19.7865,-8.6394,37
652,-19.7865,-8.0393,14
653,-19.7865,-7.4391,15
654,-19.7865,-6.8390,17
655,-19.7865,-6.2389,41
656,-19.7865,-5.6387,43
657,-19.7865,-5.0386,13
658,-19.7865,-4.4385,5
659,-19.7865,-3.8383,2
660,-19.7865,-3.2382,3
661,-19.7865,-2.6381,3
662,-19.7865,-2.0379,3
663,-19.7865,-1.4378,1
664,-19.7865,-0.8377,1
665,-19.7865,-0.2375,1
666,-19.7865,0.3626,2
667,-19.7865,0.9627,19
668,-19.7865,1.5629,19
669,-19.7865,3.9634,1
670,-19.7865,4.5635,3
671,-19.7865,5.1637,5
672,-19.7865,5.7638,10
673,-19.7865,6.3639,11
674,-19.7865,6.9641,16
675,-19.7865,7.5642,12
676,-19.7865,8.1643,9
677,-19.7865,8.7645,4
678,-19.7865,9.3646,7
679,-19.7865,10.5648,2
680,-19.7865,11.1650,1
681,-19.7865,11.7651,1
682,-19.7865,12.3652,1
683,-19.7865,13.5655,6
684,-19.7865,14.1656,12
685,-19.7865,14.7658,29
686,-19.7865,15.3659,23
687,-19.7865,15.9660,25
688,-19.7865,16.5662,37
689,-19.7865,17.1663,32
690,-19.7865,17.7664,26
691,-19.7865,18.3666,32
692,-19.7865,18.9667,19
693,-19.7865,19.5668,27
694,-19.7865,20.1670,23
695,-19.7865,20.7671,26
696,-19.7865,21.3672,17
697,-19.7865,21.9674,12
698,-19.7865,22.5675,5
699,-19.7865,23.1676,12
700,-19.2025,-26.0432,3
701,-19.2025,-25.4431,10
702,-19.2025,-24.8430,20
703,-19.2025,-24.2428,24
704,-19.2025,-23.6427,18
705,-19.2025,-23.0426,31
706,-19.2025,-22.4424,26
707,-19.2025,-21.8423,23
708,-19.2025,-21.2422,42
709,-19.2025,-20.6420,39
710,-19.2025,-20.0419,24
711,-19.2025,-19.4418,31
712,-19.2025,-18.8416,27
713,-19.2025,-18.2415,34
714,-19.2025,-17.6414,22
715,-19.2025,-17.0412,14
716,-19.2025,-16.4411,16
717,-19.2025,-15.8410,11
718,-19.2025,-15.2408,10
719,-19.2025,-14.6407,4
720,-19.2025,-14.0406,8
721,-19.2025,-13.4404,12
722,-19.2025,-12.8403,8
723,-19.2025,-12.2402,7
724,-19.2025,-11.6400,4
725,-19.2025,-11.0399,2
726,-19.2025,-10.4398,4
727,-19.2025,-9.8396,10
728,-19.2025,-9.2395,21
729,-19.2025,-8.6394,40
730,-19.2025,-8.0393,26
731,-19.2025,-7.4391,22
732,-19.2025,-6.8390,9
733,-19.2025,-6.2389,11
734,-19.2025,-5.6387,10
735,-19.2025,-5.0386,18
736,-19.2025,-4.4385,7
737,-19.2025,-3.8383,10
738,-19.2025,-3.2382,8
739,-19.2025,-2.6381,8
740,-19.2025,-2.0379,3
741,-19.2025,-1.4378,9
742,-19.2025,-0.8377,13
743,-19.2025,-0.2375,26
744,-19.2025,0.3626,24
745,-19.2025,0.9627,12
746,-19.2025,1.5629,3
747,-19.2025,2.1630,3
748,-19.2025,2.7631,1
749,-19.2025,3.3633,1
750,-19.2025,3.9634,1
751,-19.2025,4.5635,1
752,-19.2025,5.1637,4
753,-19.2025,5.7638,4
754,-19.2025,6.3639,1
755,-19.2025,6.9641,6
756,-19.2025,7.5642,6
757,-19.2025,8.1643,5
758,-19.2025,8.7645,4
759,-19.2025,9.3646,3
760,-19.2025,9.9647,5
761,-19.2025,10.5648,1
762,-19.2025,11.1650,2
763,-19.2025,11.7651,2
764,-19.2025,12.3652,4
765,-19.2025,12.9654,4
766,-19.2025,13.5655,13
767,-19.2025,14.1656,29
768,-19.2025,14.7658,34
769,-19.2025,15.3659,25
770,-19.2025,15.9660,15
771,-19.2025,16.5662,37
772,-19.2025,17.1663,33
773,-19.2025,17.7664,24
774,-19.2025,18.3666,16
775,-19.2025,18.9667,15
776,-19.2025,19.5668,11
777,-19.2025,20.1670,8
778,-19.2025,20.7671,5
779,-19.2025,21.3672,10
780,-19.2025,21.9674,11
781,-19.2025,22.5675,13
782,-19.2025,23.1676,15
783,-19.2025,23.7678,1
784,-18.6185,-27.2435,1
785,-18.6185,-26.6434,5
786,-18.6185,-26.0432,15
787,-18.6185,-25.4431,6
788,-18.6185,-24.8430,3
