Mixture,AML_16,AML_19,AML_6,AML_15,AML_1,AML_8,AML_24,AML_2,AML_9,AML_10,AML_13,AML_4,AML_12,AML_5,AML_11,AML_20,AML_26,AML_7,AML_18,AML_23,AML_14,AML_17,AML_21,AML_3,AML_22,Myeloid_Pro,AML_27,AML_25,0_HSPC,P-value,Correlation,RMSE
TARGET.20.PAURYA.09A,0.00947816142967439,0,0.0258419068693127,0.00820900629493026,0,0,0.00152871603849959,0.0176540262206619,0,0,0,0.0695016449441403,0,0,0.0895754858657072,0,0.00688078635433209,0.0282641129555421,0.0669969114262472,0,0,0,0.0879176609763102,0.539974114197908,0,0.0478981256637508,0,0.000279340762983082,0,0,0.637942941296667,0.775476697283447
TARGET.20.PAXKIB.09A,0.0424897810408959,0,0,0.0523119619164351,0,0.00493751350056269,0.284981678127747,0,0,0.00690321137403507,0,0.00970666901295282,0.0411818676285986,0.148839714330809,0,0,0,0,0,0.0466774337301735,0.0372660924266961,0.0129739880289398,0.192834639472103,0.05784967378391,0.013533444742232,0.0475123308839087,0,0,0,0,0.934871504365514,0.355472777442262
TARGET.20.PAWGVW.09A,0.0951728810431003,0.00331203206136223,0,0.0261307671335937,0,0,0,0.0662052819025192,0,0.104670285623763,0,0.0384830990667499,0.082095662437645,0.0270832259870912,0.143950190771132,0,0.0216185160345426,0,0.0669454447201386,0,0,0,0.270329812464652,0,0,0,0,0,0.05400280075371,0,0.946783591987611,0.335781659776583
TARGET.20.PAXJWS.09A,0.17500488537121,0,0,0.00409961715052982,0,0,0,0.0650653858754744,0.009717140271023,0.0616247694839196,0.034152641207799,0,0.0881105518864143,0.108741318642677,0.0101918256174071,0,0,0,0.0411011627729342,0.0121810849413227,0,0,0.321620916214987,0,0.0506851829410046,0,0,0.000250303540943901,0.0174532140823531,0,0.968109682778344,0.290014175010384
TARGET.20.PANRIK.09A,0.110546380882688,0.00289212758968039,0,0,0,0.0469666779399316,0.0418953699333564,0.0349777661988431,0,0.0826162433875035,0,0,0.0924527142221837,0.107217292424039,0,0.142258864281433,0,0.0576750535932927,0,0.04449171232389,0.0107332388786849,0.0794967969856257,0,0.0469563586083752,0,0.0109429794121151,0,0,0.0878804233383576,0,0.426377975867248,0.92169628083828
TARGET.20.PAUWZR.09A,0.0137971682617908,0,0.011593381986948,0.00860970950932775,0,0,0,0,0,0,0,0.0815270867633432,0.0258047766671665,0.0965922152108716,0.0564367961004571,0,0.00896224080215981,0.0494577093086378,0.0664313100705467,0,0.0117940099896914,0,0.0904053276646874,0.421150476191402,0,0.0574377914729698,0,0,0,0,0.646000524735541,0.769122439548043
TARGET.20.PAWLUE.09A,0.0435373992787622,0,0,0.00298620051618695,0,0,0.0660569812477827,0,0,0,0,0.075182438883571,0.173269832367941,0.0787974224963985,0.00304740051385945,0.0528554693092925,0,0,0.0181008693712473,0,0.0523181231144253,0,0.235307927293779,0.131743132501422,0,0.0667968031053315,0,0,0,0,0.921295564407361,0.389224009455361
TARGET.20.PASPTM.09A,0.061593820042162,0.071118323227151,0,0.0133451136358581,0,0,0,0,0,0,0,0.0340953024326767,0.0496603209231176,0.277221855313086,0,0.072497193654509,0,0.0244002446545841,0,0,0.0198813673923888,0.136444406146397,0.0744934327627843,0.0875708573025054,0,0.0359103827952412,0.00157049970439565,0,0.0401968800131424,0,0.771980648531328,0.636175410250967
TARGET.20.PASBHI.09A,0.0507587925873783,0,0.0156993948241194,0.0647265045302473,0,0,0,0,0,0.125158897907799,0,0.0658173615913898,0.00577494250774571,0.274486576113545,0.0777787834442152,0.142146763418705,0.0221557779391769,0.0402346474484075,0,0,0,0.0129344261829458,0.0742060452602754,0,0,0,0,0.00168724238692565,0.0264338438571242,0,0.90583070221692,0.432219016328946
TARGET.20.PAUURD.09A,0.0490485329923879,0,0,0.0262387927441804,0,0,0.036132726323147,0,0,0,0,0.188102858364686,0.163263094626417,0.116613405916506,0,0.0449340339896203,0,0,0.0198260863729905,0,0.0171313555440686,0,0.180803663376265,0.10182962212176,0,0.0560758276279717,0,0,0,0,0.914805587201446,0.405363088850933
TARGET.20.PAWVVR.09A,0.00575239637277711,0.00905937386759461,0,0,0,0.132607528101752,0.179180959589555,0.0224736511970164,0.00678887230560725,0,0.0614425168287695,0.0303162776351651,0.0184965577024203,0,0,0,0,0.0552392994704095,0,0,0,0.0658636707345842,0.223903930868398,0.128553522998648,0.0558346531824057,0.00448678914489747,0,0,0,0,0.92170351153387,0.388195810509953
TARGET.20.PAWZWN.09A,0.00470718686523362,0.000157711134439678,0,0,0,0,0.186039790121685,0,0.00304071066943465,0,0.0347243783777065,0.128709458396294,0.0403215179687453,0.0434115269425226,0.0969145166888415,0,0,0,0.0917734955260381,0,0,0.014940749532051,0.240635725274077,0.026523551766224,0.0689528088030072,0.0191468719337002,0,0,0,0,0.961691619083324,0.278697927174158
TARGET.20.PAVMZL.09A,0,0,0,0,0,0,0.217268608710268,0.0155761343502127,0,0.0469740097413388,0,0.0040899101847518,0.127219235283209,0.0584608353625716,0.0428453185177806,0,0.0373151192828137,0.0615744460391068,0.00228446889961135,0,0,0,0.173209921442328,0.140396072126393,0.00254433300042137,0.0702415870591934,0,0,0,0,0.849542778539527,0.527636335485258
TARGET.20.PAUSXS.09A,0.0423465933756529,0,0,0.00819491374072557,0,0,0.0919697591172021,0,0,0,0,0.115301995476483,0.292066002738591,0,0,0.0101316847492289,0,0.0671006997300815,0.0134623708468882,0,0,0,0.162260958733899,0.0928823230566864,0,0.104282698434562,0,0,0,0,0.857159561456192,0.516334131728364
TARGET.20.PASVYL.09A,0.0171013098978226,0,0,0,0,0.145764464465092,0.0141170202237082,0,0,0.0250691936321721,0,0,0,0.11075758867177,0,0.155467760871424,0,0,0,0,0.34854607099809,0.104761359589762,0,0.0468208901026784,0.00248550557793613,0.0096830781210105,0,0.00667567377691955,0.0127500840716148,0,0.626029789548051,0.782196756545522
TARGET.20.PAKRUP.09A,0.0360291389276815,0,0.0338901771438045,0.00797300883259888,0,0.00249427748944998,0.0284230231810647,0,0.0738707093895861,0,0,0.100252549980487,0.261752044651867,0.105273366591344,0,0,0.075487040001243,0.0244615668175518,0,0,0.000730913331268834,0.0298582982110111,0.0205248400155587,0.0812225985248427,0.02556078679414,0.0475540816836144,0.0177385742652967,0,0.0269030041675906,0,0.531453300789308,0.85497605259614
TARGET.20.PASVYA.09A,0.15602488168092,0,0,0.0128927261240528,0,0,0,0,0,0.153260669462856,0,0,0,0.210769865189752,0,0.112949454227632,0,0,0,0,0.00753536920523431,0.0459779638000012,0.0932929896645095,0,0,0.00222786454565084,0.0263864837371107,0.103009747139307,0.0756719852229742,0,0.744133037332996,0.670119224326855
TARGET.20.PAXEPC.09A,0.116517905212936,0.018282425597664,0,0.00910033685583483,0,0,0,0.125329712857698,0.0054284486078863,0.0460705290867803,0.13787077935023,0,0.0308602316890341,0,0.0520128360370025,0,0.0447097826709539,0,0.0563809651718835,0.0202957316416281,0,0,0.302383785725715,0,0,0,0,0.00112007977785007,0.0336364497169035,0,0.951106225658505,0.349876119605805
