names,scores,logfoldchanges,pvals,pvals_adj
MAP3K8,13.605852,1.3922378,3.696367273927953e-42,5.434454810367409e-40
CD33,13.604817,0.99824953,3.749034989528866e-42,5.482412343511036e-40
FUT7,13.517903,1.6530341,1.226210029537382e-41,1.7807303575254382e-39
EWSR1,13.508418,0.69864327,1.394858806770831e-41,2.0075688910502705e-39
HOXA10,13.498351,1.4693263,1.5991469958597436e-41,2.2895431282084055e-39
MALAT1,13.493177,0.74540734,1.715460386434868e-41,2.4432801941379114e-39
ZMIZ1,13.460455,0.84157014,2.672656840904416e-41,3.7480243062242136e-39
TMEM123,13.417973,0.71255636,4.745193855017056e-41,6.62051383465798e-39
AKR7A2,13.396017,0.84382457,6.379641415840057e-41,8.855719500383867e-39
TAGLN2,13.3202,0.66764456,1.766344644177795e-40,2.4395182141255544e-38
SP110,13.309746,1.016161,2.031715392472974e-40,2.7919240765108513e-38
SP100,13.292459,0.7934665,2.5602679141744782e-40,3.500654319050764e-38
EIF3E,13.235141,0.69542354,5.499367333665436e-40,7.481875577433583e-38
RILPL2,13.228334,0.7087054,6.020692842365645e-40,8.150587448877769e-38
LDHB,13.225311,0.73698914,6.2677194913064985e-40,8.443204788633868e-38
TUFM,13.2189045,0.67579454,6.8250728268074375e-40,9.148943211856676e-38
ADAR,13.192699,0.74272686,9.666091569905568e-40,1.2894094637592081e-37
RASGRP2,13.173122,0.70742136,1.2530596134671613e-39,1.6634062228093686e-37
BCAP31,13.153365,0.6803428,1.627650526306458e-39,2.1502285648491013e-37
MFNG,13.098991,0.8189154,3.3366016074751564e-39,4.386668632596905e-37
SRM,13.061918,0.72969246,5.434127965780278e-39,7.110127433120933e-37
CDK6,13.058971,0.7366252,5.648569086276965e-39,7.3555128682538044e-37
TMED9,13.057036,0.6957383,5.79397625920006e-39,7.509103070335775e-37
ARMH1,13.052405,0.7685162,6.157215710946386e-39,7.942227397714145e-37
SNHG7,13.014651,0.73478353,1.0100252578295115e-38,1.2906612476918607e-36
AK2,12.9279175,0.689558,3.1318930724475316e-38,3.9834766492628e-36
CYBA,12.917287,0.46015528,3.5960002867406856e-38,4.55260295561161e-36
ITM2C,12.890734,0.78262955,5.075860725861702e-38,6.396520157115857e-36
SCAMP2,12.851462,0.74926084,8.439914128462312e-38,1.0587059254905062e-35
SELENOF,12.8502,0.698546,8.578899170626122e-38,1.0712263777166299e-35
AC016735.1,12.825208,1.9382659,1.1846870125148146e-37,1.4725659565559146e-35
IFIT1,12.793995,3.0446374,1.771282575858405e-37,2.1818690684425198e-35
IFI44,12.781537,1.6696405,2.079183159245954e-37,2.549656622095958e-35
C19orf48,12.780834,0.8426374,2.098080344823275e-37,2.561343978104343e-35
PARP14,12.767706,1.2580885,2.483671869531985e-37,3.0052429621337014e-35
IFITM2,12.750222,0.6671547,3.1085615025325217e-37,3.744789552786535e-35
ORAI1,12.7081995,0.775911,5.3246560149138055e-37,6.386317692273374e-35
TRIM22,12.673809,0.98269874,8.260399304375691e-37,9.864143204255793e-35
RAN,12.66534,0.66039467,9.202055921062757e-37,1.0940844400755747e-34
TMEM147,12.614191,0.7256659,1.7635943816864755e-36,2.087759825177418e-34
MLF2,12.60145,0.6595999,2.07298887930908e-36,2.4434462885166424e-34
DRAP1,12.562806,0.62937385,3.3812616510066674e-36,3.968411206370315e-34
SLC17A9,12.560682,0.889679,3.4732642867806797e-36,4.058969452406174e-34
PTDSS1,12.550315,0.7623856,3.959313251291216e-36,4.607292773183387e-34
TRAPPC6A,12.545306,0.7569615,4.2178130310513056e-36,4.887301489285127e-34
UBE2J1,12.521274,0.7066065,5.7111039165662086e-36,6.589698215291963e-34
PML,12.492401,0.8142975,8.213709190546924e-36,9.358837146862341e-34
ZNF22,12.438775,0.7085005,1.6095248477572082e-35,1.826309812728988e-33
PSMB1,12.409382,0.60686755,2.3243974244625787e-35,2.626569089642714e-33
RAB37,12.368527,0.7729004,3.868493996385443e-35,4.33556708299821e-33
