names,scores,logfoldchanges,pvals,pvals_adj
TRAPPC12,3.9394825,0.24884294,8.165760387094424e-05,0.0006600676427593382
GPR137,3.9389603,0.39446616,8.183546267209991e-05,0.0006613098588153795
INVS,3.9373071,0.42567024,8.240110088901445e-05,0.0006656840487181652
CHD4,3.9354453,0.24052428,8.304261233417189e-05,0.0006706684219994875
C11orf1,3.9353235,0.26674986,8.308474444657564e-05,0.0006708105762137755
ABCD3,3.9342618,0.45048097,8.345275175964695e-05,0.0006735829249171504
ATF6,3.9336963,0.223232,8.364944970210835e-05,0.0006749713341852626
F13A1,3.9334614,0.4255555,8.373128372972597e-05,0.0006754323554197894
ALKBH3,3.9330351,0.30049524,8.387999061500364e-05,0.00067643238671716
SERPINB9,3.9323215,0.71585953,8.412940549741416e-05,0.0006782156933381484
ECD,3.9322608,0.30845726,8.415072944841431e-05,0.0006782156933381484
PLCG2,3.9298594,0.18105492,8.499558495667047e-05,0.000684621286075143
ARHGAP30,3.9284062,0.12525912,8.551066923766131e-05,0.0006885673618884235
MAPK8IP3,3.9278147,0.2619732,8.572124800409354e-05,0.0006898567533607835
AP3M2,3.9278147,0.49196324,8.572124800409354e-05,0.0006898567533607835
ANKMY2,3.9261093,0.43380553,8.633095533288018e-05,0.0006945590775324923
TAF1,3.9260223,0.277731,8.636217245131534e-05,0.000694605872898138
ARRDC1,3.9257698,0.17296761,8.645276241999108e-05,0.0006951300326777642
ID2,3.925213,0.14218181,8.665300292530717e-05,0.0006965352786582745
JUP,3.9242735,0.21581264,8.699190279610374e-05,0.0006990539447141502
DNMT3B,3.9218633,0.54444355,8.78668522227813e-05,0.0007058774796957043
BX890604.2,3.920854,0.24341394,8.82357212816474e-05,0.000708632609153577
TNPO3,3.9181218,0.20253994,8.924156520737726e-05,0.000716500247258056
ENOPH1,3.9174259,0.21517906,8.949955716632747e-05,0.0007183313153767796
TES,3.917365,0.24211422,8.952216495297538e-05,0.0007183313153767796
CUL9,3.9111092,0.4670298,9.187326031276423e-05,0.0007369803979210474
ETV6,3.9108045,0.22429566,9.198918423181777e-05,0.0007376939096783837
FNDC3A,3.910326,0.19835897,9.217162955194762e-05,0.0007389403054023922
OLA1,3.9090643,0.21598622,9.265426133186493e-05,0.0007425918611902633
ITGAL,3.907794,0.2758389,9.314263246202918e-05,0.000746287262615485
FAM120B,3.9068196,0.30498064,9.351892003837424e-05,0.0007490827145194441
CARMIL2,3.9057407,0.4807757,9.393719858124176e-05,0.0007522127766918411
ZDHHC2,3.90454,0.2511806,9.440477911881966e-05,0.0007557356820208555
RIOK3,3.9009292,0.11399522,9.582418729382897e-05,0.0007666495686767253
STX16,3.8986843,0.1577145,9.671674735171944e-05,0.0007735642506815208
