group,gene,label,cov_pct,rec_pct,HSPC,Myeloid,n_contrib_patients,clinical
PPAC_1,CEACAM19,CEACAM19,0.45,0.0,0.74,0.48,13,False
PPAC_1,CEACAM21,CEACAM21,14.1,23.08,8.16,1.57,13,False
PPAC_1,CEACAM3,CEACAM3,0.02,0.0,0.0,0.0,13,False
PPAC_1,CEACAM6,CEACAM6,0.06,0.0,0.0,0.6,13,False
PPAC_1,CEACAM8,CEACAM8,0.0,0.0,0.0,0.24,13,False
PPAC_1,CELSR1,CELSR1,0.51,0.0,0.19,0.24,13,False
PPAC_1,CELSR2,CELSR2,0.0,0.0,0.37,0.36,13,False
PPAC_1,CELSR3,CELSR3,0.29,0.0,0.93,0.72,13,False
PPAC_1,CHL1,CHL1,0.0,0.0,0.19,0.0,13,False
PPAC_1,CHODL,CHODL,0.47,0.0,0.0,0.0,13,False
PPAC_1,CHRM4,CHRM4,0.04,0.0,0.0,0.0,13,False
PPAC_1,CHRM5,CHRM5,0.06,0.0,0.19,0.0,13,False
PPAC_1,CHRNA1,CHRNA1,0.0,0.0,0.0,0.0,13,False
PPAC_1,CHRNA10,CHRNA10,0.53,0.0,0.56,0.84,13,False
PPAC_1,CHRNA2,CHRNA2,0.06,0.0,0.0,0.0,13,False
PPAC_1,CHRNA3,CHRNA3,0.02,0.0,0.0,0.0,13,False
PPAC_1,CHRNA5,CHRNA5,1.04,0.0,3.53,0.48,13,False
PPAC_1,CHRNA6,CHRNA6,0.06,0.0,0.0,0.0,13,False
PPAC_1,CHRNA7,CHRNA7,1.08,0.0,0.74,0.72,13,False
PPAC_1,CHRNA9,CHRNA9,0.02,0.0,0.19,0.0,13,False
PPAC_1,CHRNB2,CHRNB2,0.04,0.0,0.0,0.0,13,False
PPAC_1,CHRNB4,CHRNB4,0.02,0.0,0.0,0.0,13,False
PPAC_1,CHRND,CHRND,0.02,0.0,0.0,0.0,13,False
PPAC_1,CHRNE,CHRNE,1.37,0.0,0.74,0.72,13,False
PPAC_1,CHRNG,CHRNG,0.06,0.0,0.19,0.0,13,False
PPAC_1,CLCNKB,CLCNKB,0.0,0.0,0.19,0.0,13,False
PPAC_1,CLDN1,CLDN1,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN11,CLDN11,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN12,CLDN12,1.92,0.0,1.48,0.6,13,False
PPAC_1,CLDN16,CLDN16,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN19,CLDN19,0.1,0.0,0.0,0.24,13,False
PPAC_1,CLDN20,CLDN20,0.06,0.0,0.0,0.0,13,False
PPAC_1,CLDN22,CLDN22,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN24,CLDN24,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN3,CLDN3,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN4,CLDN4,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN6,CLDN6,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLDN7,CLDN7,3.54,0.0,1.86,0.12,13,False
PPAC_1,CLDN9,CLDN9,0.35,0.0,0.0,0.0,13,False
PPAC_1,CLEC12B,CLEC12B,1.72,0.0,0.0,0.97,13,False
PPAC_1,CLEC14A,CLEC14A,2.07,0.0,1.3,0.48,13,False
PPAC_1,CLEC17A,CLEC17A,0.06,0.0,0.19,0.12,13,False
PPAC_1,CLEC1A,CLEC1A,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLEC1B,CLEC1B,0.39,0.0,0.19,0.0,13,False
PPAC_1,CLEC2D,CLEC2D,14.43,23.08,6.12,5.31,13,False
PPAC_1,CLEC4G,CLEC4G,0.14,0.0,0.93,3.98,13,False
PPAC_1,CLEC4M,CLEC4M,0.0,0.0,0.0,0.0,13,False
PPAC_1,CLEC7A,CLEC7A,1.27,0.0,0.56,4.7,13,False
PPAC_1,CLEC9A,CLEC9A,0.8,0.0,6.68,0.24,13,False
PPAC_1,CLMP,CLMP,0.02,0.0,0.0,0.0,13,False
PPAC_1,CLSTN2,CLSTN2,0.2,0.0,0.19,0.36,13,False
PPAC_1,CLSTN3,CLSTN3,17.8,7.69,7.24,2.65,13,False
PPAC_1,CMKLR1,CMKLR1,0.2,0.0,0.0,0.24,13,False
PPAC_1,CNNM4,CNNM4,6.73,0.0,6.86,2.53,13,False
PPAC_1,CNR1,CNR1,0.0,0.0,0.19,0.0,13,False
PPAC_1,CNR2,CNR2,1.51,0.0,0.37,0.12,13,False
PPAC_1,CNTN1,CNTN1,0.65,0.0,0.37,0.0,13,False
PPAC_1,CNTN2,CNTN2,0.02,0.0,0.19,0.0,13,False
PPAC_1,CNTN4,CNTN4,0.8,0.0,0.19,0.0,13,False
PPAC_1,CNTN5,CNTN5,0.02,0.0,0.19,0.0,13,False
PPAC_1,CNTNAP1,CNTNAP1,0.29,0.0,0.0,0.12,13,False
PPAC_1,CNTNAP2,CNTNAP2,0.0,0.0,0.0,0.0,13,False
PPAC_1,CNTNAP3,CNTNAP3,0.02,0.0,0.0,0.0,13,False
PPAC_1,CNTNAP3B,CNTNAP3B,0.0,0.0,0.0,0.0,13,False
PPAC_1,CNTNAP5,CNTNAP5,0.0,0.0,0.0,0.0,13,False
PPAC_1,CORIN,CORIN,0.04,0.0,0.0,0.0,13,False
PPAC_1,CPM,CPM,0.43,0.0,0.19,9.29,13,False
PPAC_1,CR1,CR1,0.16,0.0,1.67,4.22,13,False
PPAC_1,CR2,CR2,0.02,0.0,0.0,0.0,13,False
PPAC_1,CRB1,CRB1,0.25,0.0,0.0,0.0,13,False
PPAC_1,CRB2,CRB2,0.08,0.0,0.0,0.24,13,False
PPAC_1,CRB3,CRB3,0.0,0.0,0.0,0.0,13,False
PPAC_1,CRHR1,CRHR1,0.0,0.0,0.0,0.0,13,False
PPAC_1,CRHR2,CRHR2,0.02,0.0,0.0,0.0,13,False
PPAC_1,CRIM1,CRIM1,12.03,7.69,8.91,1.09,13,False
PPAC_1,CRLF2,CRLF2,3.36,0.0,0.37,0.24,13,False
PPAC_1,CRTAM,CRTAM,0.88,0.0,0.56,1.09,13,False
PPAC_1,CSF1,CSF1,0.59,0.0,1.11,0.36,13,False
PPAC_1,CSF2RB,CSF2RB,4.15,7.69,9.46,2.41,13,False
PPAC_1,CSMD1,CSMD1,0.04,0.0,0.0,0.24,13,False
PPAC_1,CSMD2,CSMD2,0.0,0.0,0.0,0.0,13,False
