res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_PAC
2.5,28,1204,0.9134946435069147,0.01123207746983702,0.909468438538206,AML882,11,PPAC_2:1%
2.5,29,1154,0.9652672059190692,0.008582438626752164,0.9367417677642981,AML4116,11,PPAC_5:99%
2.5,30,906,0.5477895888978185,0.1951123574700279,0.8796909492273731,AML882,18,-
2.5,31,1333,0.7038393935228366,0.14003221691335355,0.21005251312828208,AML4271,25,PPAC_3:1%
2.5,32,3929,0.3686615515928215,0.07740420528138084,0.185543395265971,AML1355,26,FPAC_1:50%
2.5,33,338,0.20986986165103977,0.2061513260099135,0.1301775147928994,AML4304,28,PPAC_2:60%
2.5,34,2874,0.22551512676294716,0.07742747100509485,0.16945024356297841,AML3121,29,FPAC_1:32%
2.5,35,2503,0.49615907124684033,0.127241279596146,0.26088693567718735,AML3371,27,FPAC_1:10%
2.5,36,2611,0.6295615269525319,0.03590020993091718,0.16315587897357334,AML1355,30,FPAC_1:2%
2.5,37,1394,0.1441251244761676,0.0412710563204119,0.29913916786226685,AML3210,26,PPAC_3:50%
3.0,0,853,0.8819545011118569,0.03223646202131967,0.29191090269636577,0_HealthyBM2,22,PPAC_4:6%
3.0,1,662,0.9069901883337723,0.07141192470320472,0.4003021148036254,0_HealthyBM2,13,-
3.0,2,1378,0.7981619554160257,0.07151251950440501,0.20319303338171263,AML4271,27,PPAC_3:2%
3.0,3,2338,0.5534547886045311,0.074587974623017,0.38109495295124035,AML4000,29,PPAC_1:2%
3.0,4,2648,0.6636000199123797,0.10925271705689037,0.311178247734139,AML948,26,PPAC_1:89%
3.0,5,644,0.29924416564400874,0.18078571563552578,0.37111801242236025,AML4035,27,PPAC_4:6%
3.0,6,2128,0.5188645465850813,0.09806504681685964,0.3308270676691729,AML4226,25,PPAC_2:60%
3.0,7,3334,0.6118911750071053,0.1549191822354331,0.09538092381523695,AML335,30,PPAC_2:0%
3.0,8,3756,0.875969946348946,0.06460441269463005,0.3320021299254526,AML3082,25,PPAC_2:0%
3.0,9,1778,0.45413510994486217,0.11474280654762624,0.36670416197975253,AML3371,23,PPAC_1:85%
3.0,10,1953,0.38533725818894554,0.12439325739506617,0.23246287762416795,AML3492,25,FPAC_1:75%
3.0,11,758,0.7932517291857485,0.141437163315907,0.9261213720316622,AML4232,15,PPAC_3:0%
3.0,12,3826,0.41774947582671834,0.14890433084957436,0.17799268165185572,AML4304,30,PPAC_1:0%
3.0,13,2216,0.8522928962607615,0.05790252990375602,0.24819494584837545,AML3082,28,-
3.0,14,439,0.7678831926650436,0.1605089404507324,0.6697038724373576,AML4116,11,-
3.0,15,1696,0.7099819412272976,0.09745886990228851,0.48879716981132076,AML3210,29,PPAC_3:1%
3.0,16,3276,0.35585035856809105,0.09986874489510632,0.19017094017094016,AML4304,28,PPAC_3:35%
3.0,17,449,0.09339527931331623,0.029986707466455848,0.24053452115812918,AML1355,26,FPAC_1:1%
3.0,18,1161,0.6945869829163545,0.14281758957367974,0.1111111111111111,AML4035,29,PPAC_4:84%
3.0,19,716,0.7582402327413226,0.044791301650538955,0.35335195530726254,AML4271,24,PPAC_3:3%
3.0,20,1367,0.20016949905659084,0.07838277226840067,0.2867593269934162,AML3210,24,PPAC_3:57%
3.0,21,532,0.3145863026403909,0.16750228300620548,0.31203007518796994,AML4226,28,PPAC_2:68%
3.0,22,1021,0.5758879301604323,0.12485606787816209,0.2654260528893242,AML4226,29,PPAC_2:1%
3.0,23,3330,0.7252642128848094,0.08833681560259536,0.15585585585585585,AML4363,30,PPAC_4:0%
3.0,24,572,0.5960569229039344,0.18621116906598345,0.784965034965035,AML3210,22,FPAC_1:5%
3.0,25,2072,0.5927338480050628,0.05638418203087052,0.49131274131274133,AML4363,27,PPAC_2:73%
3.0,26,2105,0.49396787691040744,0.10653333655259102,0.07505938242280286,AML4271,29,PPAC_4:45%
3.0,27,1265,0.7283206828514464,0.09766416366534451,0.391304347826087,AML4232,29,PPAC_3:0%
3.0,28,524,0.9593081329461277,0.021293956360513584,0.9751908396946565,AML4127,2,-
3.0,29,891,0.8435686241176784,0.031543963837668075,0.867564534231201,AML4264,17,FPAC_2:95%
3.0,30,1886,0.5062657522406477,0.14224352927664455,0.4395546129374337,AML4102,27,FPAC_1:7%
3.0,31,1154,0.9675107478363378,0.008190547859679457,0.9376083188908145,AML4116,10,PPAC_5:99%
3.0,32,1489,0.5308377524475035,0.15458570415583178,0.22968435191403627,AML4000,22,FPAC_1:1%
3.0,33,2347,0.5719714029288754,0.1581294447041321,0.26714955262036644,AML3371,27,FPAC_1:5%
3.0,34,2244,0.33838902464033743,0.1398296106641956,0.19696969696969696,AML3121,28,FPAC_1:12%
3.0,35,1665,0.9244853526347143,0.025606396987825204,0.9345345345345345,AML4035,22,FPAC_1:0%
3.0,36,901,0.7587718049795352,0.13561766876838635,0.8723640399556049,AML882,19,-
3.0,37,1179,0.9187119434367677,0.01751136817926401,0.9355385920271416,AML882,7,PPAC_2:1%
3.0,38,14,0.19499900915368426,0.3300025095214792,0.21428571428571427,AML4000,8,FPAC_1:7%
3.0,39,972,0.3246752515530517,0.1562154331423588,0.4002057613168724,AML3121,25,PPAC_2:2%
3.0,40,2832,0.368547153471121,0.10359548975247782,0.19562146892655366,AML1355,24,FPAC_1:59%
3.0,41,2464,0.5329841153645717,0.08222692164033402,0.28936688311688313,AML4264,27,PPAC_1:1%
3.0,42,2305,0.6978182591680928,0.030508667887455248,0.16138828633405639,AML1355,30,FPAC_1:2%
3.0,43,1112,0.7509083083483417,0.16761883294941046,0.11241007194244604,AML4304,30,PPAC_4:1%
3.5,0,873,0.8900822576430171,0.030756795243566133,0.286368843069874,0_HealthyBM2,22,PPAC_4:6%
3.5,1,1445,0.5897582894285154,0.1298382210808274,0.23944636678200693,AML4000,23,FPAC_1:2%
3.5,2,2642,0.3462139749562474,0.10574752629055366,0.19606358819076458,AML4304,27,PPAC_3:37%
3.5,3,1173,0.7783003587706648,0.13318238815563552,0.11082693947144075,AML4304,30,PPAC_4:1%
3.5,4,1496,0.36015593929670103,0.11507365932966032,0.31216577540106955,AML4090,22,PPAC_1:70%
3.5,5,1049,0.5892336895955137,0.10242998035421287,0.2640610104861773,AML4226,29,PPAC_2:1%
3.5,6,1679,0.9142459776489623,0.020622693340007534,0.9291244788564622,AML4035,22,PPAC_4:0%
3.5,7,918,0.6733391722197828,0.06826779485433476,0.31808278867102396,AML4271,26,PPAC_3:3%
3.5,8,1444,0.23161085054012803,0.05464806594732371,0.2853185595567867,AML3210,24,PPAC_3:62%
3.5,9,1834,0.6985769234978771,0.1916956024974031,0.13358778625954199,AML4035,30,PPAC_4:9%
3.5,10,2274,0.701021592410139,0.03967684100301564,0.1627088830255057,AML1355,29,FPAC_1:2%
3.5,11,124,0.08909622533063336,0.046012209426841116,0.4596774193548387,AML3121,18,FPAC_1:4%
3.5,12,539,0.8769327602430128,0.08028310716739459,0.49165120593692024,0_HealthyBM2,13,-
3.5,13,2142,0.542361572652886,0.09524856483333637,0.14519140989729226,AML4264,27,PPAC_1:0%
3.5,14,1778,0.5005492307852782,0.052056412087302294,0.3560179977502812,AML647,26,PPAC_2:61%
3.5,15,1170,0.9128379554970832,0.015974699979740395,0.923931623931624,AML882,9,PPAC_2:1%
3.5,16,1949,0.34958084623699337,0.09541775972741273,0.22165212929707542,AML3492,27,FPAC_1:74%
3.5,17,759,0.7633371462116708,0.15830675065486585,0.9262187088274044,AML4232,14,PPAC_3:0%
3.5,18,2199,0.8313136022551323,0.11235807296503664,0.2501136880400182,AML3082,28,-
3.5,19,2964,0.6202367917802041,0.13447849369332285,0.08974358974358974,AML335,30,FPAC_1:0%
3.5,20,2270,0.3505001110998657,0.08641148996730584,0.22378854625550662,AML1355,25,FPAC_1:68%
3.5,21,657,0.6374770674288375,0.11347138698608626,0.7397260273972602,AML3210,24,FPAC_1:6%
3.5,22,2302,0.5803262138420001,0.16547278618237365,0.2680278019113814,AML3371,27,FPAC_1:3%
3.5,23,4109,0.39818888919221507,0.07369393331810956,0.11657337551715746,AML4363,30,PPAC_1:0%
3.5,24,611,0.36715489676767854,0.12478449804058246,0.3044189852700491,AML4226,28,PPAC_2:63%
3.5,25,2284,0.5568486981603814,0.06922639611995313,0.38441330998248685,AML4000,29,PPAC_1:2%
3.5,26,2486,0.6736456816423859,0.09498774523524743,0.32139983909895414,AML948,24,PPAC_1:90%
3.5,27,2685,0.7566086056795095,0.06774881198162067,0.3590316573556797,AML4271,24,PPAC_2:0%
3.5,28,716,0.31532715572559405,0.24605626092062283,0.22625698324022347,AML4239,16,PPAC_2:8%
3.5,29,1920,0.6234158867496356,0.0506820985676849,0.5197916666666667,AML4363,26,PPAC_2:80%
3.5,30,807,0.687014000645336,0.18114991792373902,0.07063197026022305,AML4035,29,PPAC_4:100%
3.5,31,1105,0.5538017977502169,0.10880643142525315,0.5972850678733032,AML3371,19,PPAC_1:71%
3.5,32,1636,0.7323552896344399,0.08972093865428703,0.5,AML3210,28,PPAC_3:2%
3.5,33,914,0.7512800620955244,0.16166098938098436,0.8763676148796499,AML882,19,-
3.5,34,1699,0.38618207324126885,0.058448401625675404,0.15303119482048264,AML4239,30,PPAC_4:0%
3.5,35,1242,0.7668133488702423,0.11223791956585885,0.21739130434782608,AML4271,25,PPAC_1:2%
3.5,36,1263,0.7554139644858742,0.07006221981642222,0.3919239904988123,AML4232,29,FPAC_1:0%
3.5,37,526,0.963117088392757,0.02167534635354868,0.9752851711026616,AML4127,2,-
3.5,38,1549,0.5353439181567807,0.13760391236230282,0.5345384118786314,AML4102,27,FPAC_1:7%
3.5,39,886,0.8293467776513378,0.03791041936649083,0.8611738148984198,AML4264,19,FPAC_2:97%
3.5,40,1156,0.9650538897677574,0.009136618861379196,0.9377162629757786,AML4116,11,PPAC_5:99%
3.5,41,543,0.3793009344743828,0.21507971454860147,0.7384898710865562,AML4264,21,PPAC_1:5%
3.5,42,445,0.7442966415858778,0.1774660886466677,0.6719101123595506,AML4116,12,-
3.5,43,1274,0.779599741745567,0.07137875548234153,0.10518053375196232,AML4035,30,PPAC_4:79%
