"LS","Description","p.adjust","term"
"LS_3","GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS",0.0514889027370016,"positive regulation of phosphorus metabolic process"
"LS_3","GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE",0.0514889027370016,"circadian sleep wake cycle"
"LS_3","GOBP_DENDRITIC_CELL_CHEMOTAXIS",0.0514889027370016,"dendritic cell chemotaxis"
"LS_3","GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS",0.0514889027370016,"peptide biosynthetic process"
"LS_3","GOBP_REGULATION_OF_POSITIVE_CHEMOTAXIS",0.0514889027370016,"regulation of positive chemotaxis"
"LS_3","GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY",0.0515868054672269,"positive regulation of catalytic activity"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT",0.0515868054672269,"negative regulation of potassium ion transmembrane transport"
"LS_3","GOBP_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS",0.0515868054672269,"positive regulation of lipid catabolic process"
"LS_3","GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION",0.0515868054672269,"positive regulation of mesenchymal cell proliferation"
"LS_3","GOBP_SLEEP",0.0515868054672269,"sleep"
"LS_3","GOBP_POSITIVE_REGULATION_OF_HEART_RATE",0.0524461168671897,"positive regulation of heart rate"
"LS_3","GOBP_REGULATION_OF_CARDIAC_CONDUCTION",0.0524461168671897,"regulation of cardiac conduction"
"LS_3","GOBP_DEFENSE_RESPONSE_TO_BACTERIUM",0.0524461168671897,"defense response to bacterium"
"LS_3","GOBP_EMBRYONIC_HINDLIMB_MORPHOGENESIS",0.0531502998118095,"embryonic hindlimb morphogenesis"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT",0.0531502998118095,"negative regulation of biomineral tissue development"
"LS_3","GOBP_POSITIVE_REGULATION_OF_VASOCONSTRICTION",0.0531502998118095,"positive regulation of vasoconstriction"
"LS_3","GOBP_CARDIAC_ATRIUM_MORPHOGENESIS",0.0539018427113654,"cardiac atrium morphogenesis"
"LS_3","GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",0.0539018427113654,"regulation of cardiac muscle cell membrane repolarization"
"LS_3","GOBP_MUSCLE_CONTRACTION",0.0539018427113654,"muscle contraction"
"LS_3","GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL",0.0539018427113654,"membrane depolarization during action potential"
"LS_3","GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT",0.0539018427113654,"positive regulation of potassium ion transmembrane transport"
"LS_3","GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL",0.0539018427113654,"regulation of cardiac muscle cell action potential"
"LS_3","GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",0.0539018427113654,"ventricular cardiac muscle cell membrane repolarization"
"LS_3","GOBP_MUSCLE_ORGAN_DEVELOPMENT",0.0539018427113654,"muscle organ development"
"LS_3","GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.0539018427113654,"acute inflammatory response to antigenic stimulus"
"LS_3","GOBP_LEUKOCYTE_TETHERING_OR_ROLLING",0.0539018427113654,"leukocyte tethering or rolling"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_CHEMOKINE_PRODUCTION",0.0539018427113654,"negative regulation of chemokine production"
"LS_3","GOBP_SODIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE",0.0539018427113654,"sodium ion import across plasma membrane"
"LS_3","GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS",0.0539018427113654,"triglyceride catabolic process"
"LS_3","GOBP_DENDRITIC_CELL_MIGRATION",0.0542333040561168,"dendritic cell migration"
"LS_3","GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS",0.0542333040561168,"embryonic forelimb morphogenesis"
"LS_3","GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS",0.0542333040561168,"prostanoid biosynthetic process"
