subtype,n,LS,mean_pct,pval,fdr,neglog10fdr,label
Other,184,LS_13,0.7316607372935271,0.04305099967695297,0.1848042912961884,0.733287948350671,LS13  Monocyte
Other,184,LS_14,1.247407749763944,0.6250766052837845,1.0,-0.0,LS14  T/NK
Other,184,LS_15,1.694929420239297,0.01545724812134914,0.07627501876703127,1.1176176768298736,LS15  Erythroid
Other,184,LS_16,2.6090653073175165,0.00894734275109041,0.051914252445887224,1.2847133953526586,LS16  B/plasma
Other,184,LS_17,3.393878755404498,0.009279358093441485,0.05278785024643317,1.2774660240214313,LS17  Megakaryocyte
Other,184,LS_18,1.4766279138059453,0.5913133838232499,1.0,-0.0,LS18  unresolved
Other,184,LS_19,2.278747992493531,0.27947259756669296,0.6977446797609858,0.15630346628219075,LS19  unresolved
Other,184,LS_20,2.424642309033787,0.9220640278860569,1.0,-0.0,LS20  Cell-cycle
Other,184,LS_21,1.2204495853907233,0.008033014220747717,0.04712701676171994,1.3267300511151696,LS21  unresolved
Other,184,LS_22,1.671252462050304,0.6723125157948542,1.0,-0.0,LS22  GMP
Other,184,LS_23,1.344782699785043,0.04949690840706417,0.20259199720100685,0.6933777141587971,LS23  unresolved
Other,184,LS_24,0.904251964342004,0.501094895094101,1.0,-0.0,LS24  unresolved
Other,184,LS_25,0.8214269318772991,0.001666767076786851,0.012222958563103575,1.9128236605325495,LS25  T/NK
Other,184,LS_26,2.7315042953757795,0.33117712968970636,0.7912286175392079,0.1016980133539988,LS26  GMP
Other,184,LS_27,3.168488760782368,0.00042722308045008557,0.0038892032151318133,2.410139363896863,LS27  unresolved
Other,184,LS_28,1.5819513191548913,0.610771899093439,1.0,-0.0,LS28  cDC
Other,184,LS_29,2.259164947646671,0.033333158844567494,0.15053197427638149,0.8223712424162396,LS29  B/plasma
Other,184,LS_30,5.6883186999498125,0.29358145122213547,0.7209814243966861,0.14207592444276293,LS30  T/NK
Other,184,LS_31,1.976757850389025,0.13369318104180344,0.410406974360885,0.3867852675338849,LS31  unresolved
Other,184,LS_32,0.6076784138685579,0.06142652768013714,0.24167623911289612,0.6167660460318005,LS32  HSC/MPP
Other,184,LS_33,1.2174368219078884,0.26221818725968526,0.6753717213322625,0.17045712777888164,LS33  unresolved
Other,184,LS_34,1.8819404741672245,0.15118768504185326,0.4484668410230254,0.34826966252646213,LS34  Cell-cycle
Other,184,LS_35,1.5045930788716666,0.9819059835985763,1.0,-0.0,LS35  unresolved
Other,184,LS_36,1.9623028258661819,0.724090250662248,1.0,-0.0,LS36  Neutrophil
Other,184,LS_37,0.5617499721061441,0.5178957866641959,1.0,-0.0,LS37  Cell-cycle
Other,184,LS_38,2.649334887089123,0.4990214611831467,1.0,-0.0,LS38  B/plasma
Other,184,LS_39,1.6753094455693864,0.980150093020022,1.0,-0.0,LS39  unresolved
Other,184,LS_40,1.0658376368942333,0.375195033936477,0.8688727101686836,0.06104384302256235,LS40  unresolved
Other,184,LS_41,1.4109579575546858,0.9716429281534178,1.0,-0.0,LS41  unresolved
Other,184,LS_42,2.062187501595353,0.45460376707027633,1.0,-0.0,LS42  HSC/MPP
Other,184,LS_43,2.9841808930568563,0.9999386200391849,1.0,-0.0,LS43  Monocyte
Other,184,LS_44,6.861774047887716,0.11380652237072342,0.3808121453600913,0.41928920897780947,LS44  unresolved
Other,184,LS_45,0.31303641730010234,0.9843684198531116,1.0,-0.0,LS45  Macrophage
Other,184,LS_46,1.5146779342260444,0.9999999992032963,1.0,-0.0,LS46  GMP
Other,184,LS_47,2.442883434524649,0.5229118623547868,1.0,-0.0,LS47  Macrophage
Other,184,LS_48,2.458201492147729,0.9975277569141209,1.0,-0.0,LS48  unresolved
KMT2A(MLL),266,LS_1,1.6055532561103214,1.0,1.0,-0.0,LS1  Erythroid
KMT2A(MLL),266,LS_2,0.8570345736271292,1.0,1.0,-0.0,LS2  unresolved
KMT2A(MLL),266,LS_3,2.5822655414149973,0.7759344555033221,1.0,-0.0,LS3  unresolved
KMT2A(MLL),266,LS_4,1.7431715190777488,0.18092673422396766,0.5135984713454566,0.2893762775545087,LS4  Cell-cycle
KMT2A(MLL),266,LS_5,0.725001178848786,0.699160104619646,1.0,-0.0,LS5  Macrophage
KMT2A(MLL),266,LS_6,2.3164908614094304,0.9994771591427251,1.0,-0.0,LS6  B/plasma
KMT2A(MLL),266,LS_7,1.6484479776596026,0.999983523629169,1.0,-0.0,LS7  B/plasma
KMT2A(MLL),266,LS_8,2.5293989507885195,0.9999999999998883,1.0,-0.0,LS8  GMP
KMT2A(MLL),266,LS_9,9.013469467843944,2.6244379882218852e-12,6.928516288905777e-11,10.159359757672503,LS9  unresolved
KMT2A(MLL),266,LS_10,0.3036622945669259,0.9961543293882561,1.0,-0.0,LS10  GMP
KMT2A(MLL),266,LS_11,0.9363860610537896,0.9380307021561156,1.0,-0.0,LS11  Cell-cycle
KMT2A(MLL),266,LS_12,1.4783947965458404,0.09764648450526947,0.34143936303829325,0.4666864124395875,LS12  HSC/MPP
KMT2A(MLL),266,LS_13,0.5627216137658098,0.5857491934716096,1.0,-0.0,LS13  Monocyte
KMT2A(MLL),266,LS_14,1.0033246756867347,0.9768589744115096,1.0,-0.0,LS14  T/NK
KMT2A(MLL),266,LS_15,1.0435127175815395,0.9750897762982718,1.0,-0.0,LS15  Erythroid
KMT2A(MLL),266,LS_16,1.984264813116975,0.17286071213539506,0.4933538162566951,0.30684150803567034,LS16  B/plasma
KMT2A(MLL),266,LS_17,2.5307737725470365,0.9089286270795325,1.0,-0.0,LS17  Megakaryocyte
KMT2A(MLL),266,LS_18,2.0016656828030888,3.175793673717365e-08,5.285902250043366e-07,6.276880872354384,LS18  unresolved
KMT2A(MLL),266,LS_19,2.187234194899165,0.058867583458130986,0.2336998801946854,0.6313415102470558,LS19  unresolved
KMT2A(MLL),266,LS_20,3.025966841803988,0.0014852952259768993,0.011045575765011308,1.9568116410374499,LS20  Cell-cycle
KMT2A(MLL),266,LS_21,0.6021223027769728,0.9655352486067632,1.0,-0.0,LS21  unresolved
KMT2A(MLL),266,LS_22,1.8226625763714452,0.03335651702715271,0.15053197427638149,0.8223712424162396,LS22  GMP
KMT2A(MLL),266,LS_23,0.6952184341606118,0.9998233712724588,1.0,-0.0,LS23  unresolved
KMT2A(MLL),266,LS_24,0.8371393450902879,0.18770963354179243,0.5271845027131191,0.2780373648880605,LS24  unresolved
KMT2A(MLL),266,LS_25,0.3842803538235771,0.9980037407024396,1.0,-0.0,LS25  T/NK
KMT2A(MLL),266,LS_26,2.356674613732696,0.9549551256398904,1.0,-0.0,LS26  GMP
KMT2A(MLL),266,LS_27,2.514841822986265,0.9669980948143244,1.0,-0.0,LS27  unresolved
KMT2A(MLL),266,LS_28,3.373183171399029,9.496504191828967e-30,1.2535385533214237e-27,16.0,LS28  cDC
KMT2A(MLL),266,LS_29,1.412015985354,0.9999974279324627,1.0,-0.0,LS29  B/plasma
KMT2A(MLL),266,LS_30,7.984309049894192,3.6702680448299266e-14,1.4906934828232317e-12,11.826611647226759,LS30  T/NK
KMT2A(MLL),266,LS_31,2.3913848352259395,4.466184668751278e-12,1.1229264310003213e-10,9.949648695793044,LS31  unresolved
KMT2A(MLL),266,LS_32,0.11044742990134655,0.9999999455366307,1.0,-0.0,LS32  HSC/MPP
KMT2A(MLL),266,LS_33,0.6087331151462093,1.0,1.0,-0.0,LS33  unresolved
KMT2A(MLL),266,LS_34,1.4545857114389784,0.681893435954062,1.0,-0.0,LS34  Cell-cycle
KMT2A(MLL),266,LS_35,0.6723175345934154,1.0,1.0,-0.0,LS35  unresolved
KMT2A(MLL),266,LS_36,1.5819536892461776,0.9908652695687264,1.0,-0.0,LS36  Neutrophil
KMT2A(MLL),266,LS_37,0.5097740370371415,0.9988057073143144,1.0,-0.0,LS37  Cell-cycle
KMT2A(MLL),266,LS_38,3.0107919448393785,0.010053378116885446,0.05647003878420761,1.2481819139850694,LS38  B/plasma
KMT2A(MLL),266,LS_39,1.9054665286973618,0.815061619566837,1.0,-0.0,LS39  unresolved
KMT2A(MLL),266,LS_40,2.3521287428605224,1.5820902501977504e-29,1.6706873042088243e-27,16.0,LS40  unresolved
KMT2A(MLL),266,LS_41,1.1242512965763007,0.9999998559975545,1.0,-0.0,LS41  unresolved
KMT2A(MLL),266,LS_42,1.653644242124316,0.999982522470071,1.0,-0.0,LS42  HSC/MPP
KMT2A(MLL),266,LS_43,4.479550932524912,3.235465684687869e-06,4.166648491500475e-05,4.38021313612559,LS43  Monocyte
KMT2A(MLL),266,LS_44,5.326273598054258,0.9964943678876244,1.0,-0.0,LS44  unresolved
KMT2A(MLL),266,LS_45,0.3461414272345444,0.9999999928461569,1.0,-0.0,LS45  Macrophage
KMT2A(MLL),266,LS_46,2.453831806942815,0.14274618739520345,0.43566466442004287,0.360847663084011,LS46  GMP
KMT2A(MLL),266,LS_47,2.208169782905113,0.21150321278792183,0.5727453219188913,0.24203844936354704,LS47  Macrophage
KMT2A(MLL),266,LS_48,5.749364897910678,6.083494333432161e-42,3.212085008052181e-39,16.0,LS48  unresolved
NUP98-r,27,LS_1,2.4771870442217807,0.9007807407939834,1.0,-0.0,LS1  Erythroid
NUP98-r,27,LS_2,2.2492245035363445,0.0621846777850522,0.24167623911289612,0.6167660460318005,LS2  unresolved
NUP98-r,27,LS_3,2.103108499887493,0.6775672005976491,1.0,-0.0,LS3  unresolved
NUP98-r,27,LS_4,3.0413663378619584,0.005059608234974074,0.032186423470678446,1.4923272790846382,LS4  Cell-cycle
NUP98-r,27,LS_5,0.9643994832849174,0.24561955398494395,0.651694092985178,0.1859562154714377,LS5  Macrophage
