LS,LSn,LSC_Eppert,HSC,prognosis
LS42,42,0.22733034060814505,-0.07425099448577863,ns
LS3,3,0.061434586711386074,-0.10187619899606107,ns
LS42,42,0.30975043941273783,0.13152576578060554,ns
LS34,34,0.03571033714426952,-0.18423943650159952,ns
LS38,38,0.20719592880867452,-0.008401316534720898,ns
LS11,11,-0.03709543037256788,-0.07995807216756015,ns
LS11,11,0.06806827426318268,-0.11554102561628028,ns
LS34,34,0.12180628748941855,-0.10335991759780327,ns
LS1,1,0.04166898787892617,-0.0321830390438009,favorable
LS6,6,-0.006508716512784701,-0.05671458727954448,ns
LS20,20,0.07071479227314778,-0.09308365543580245,poor
LS3,3,0.05929131898335725,-0.06595012074235095,ns
LS37,37,0.06465470130232567,0.003937978326791325,ns
LS37,37,-0.03934221186189571,-0.05610117889310551,ns
LS1,1,0.1662082803587891,0.08227400072840373,favorable
LS3,3,0.0393868933573287,-0.07260166311862579,ns
LS42,42,0.2493004358468846,0.2268322080470048,ns
LS3,3,0.08846758139636322,-0.06703922798444038,ns
LS37,37,-0.04873542980218282,-0.12060332358132846,ns
LS3,3,0.01859818367317817,-0.0869083228969175,ns
LS33,33,-0.025978903222222086,-0.024393448484416838,ns
LS37,37,0.019314746735738214,-0.12072844565164095,ns
LS3,3,0.04387378929270705,-0.07116437457096626,ns
LS17,17,-0.013002482662195669,-0.0719355369282188,ns
LS34,34,0.2591180130900974,0.11177858656022605,ns
LS1,1,0.06483216255467755,-0.046017934934964505,favorable
LS42,42,0.28016303214679783,0.10280019506471941,ns
LS27,27,0.17854647430007636,0.08226005987976827,favorable
LS37,37,0.009198152759300637,-0.08094018912215611,ns
LS42,42,0.2612947022780131,0.06311283290376729,ns
LS37,37,0.012180335205515674,-0.10174706111891998,ns
LS37,37,-0.03012489463989157,-0.12444662309590743,ns
LS34,34,0.017625045671192163,-0.19319303715975947,ns
LS27,27,0.14376778151662284,-0.030596313119963768,favorable
LS11,11,-0.06713304238310194,-0.0627300868391214,ns
LS42,42,0.2292089070503397,-0.010585138953203704,ns
LS42,42,0.23620814977350857,0.07489422990649339,ns
LS47,47,0.04269639618113444,-0.030792266878938525,ns
LS30,30,-0.031220192879002906,-0.09147587221536677,ns
LS3,3,0.07550546463639538,-0.08579831941357217,ns
LS1,1,0.03586118649213742,-0.06467775480517783,favorable
LS1,1,0.17653679039184467,0.19426659357307208,favorable
LS1,1,0.14064602974133616,0.08912826032180425,favorable
LS37,37,0.0773167727175645,-0.018217566288487967,ns
LS30,30,0.02203927830227287,-0.06641308772514055,ns
LS38,38,0.05953082664958825,-0.08905985684574398,ns
LS34,34,0.0805806695576834,-0.11280221340546548,ns
LS3,3,0.0432305942069475,-0.11250302622009022,ns
LS3,3,0.004875116845218477,-0.027643251302894987,ns
LS37,37,0.0455574238632282,-0.15662415316912917,ns
LS37,37,0.052992302489931475,-0.060408658159529845,ns
LS20,20,-0.030013727293811215,-0.09362672559349133,poor
LS42,42,0.32600978559983607,0.12140136392659145,ns
LS42,42,0.16347137442757875,0.04308597402459993,ns
LS37,37,0.02812657226108145,-0.10748683019662003,ns
LS42,42,0.22640948930587326,0.06123151341255398,ns
LS34,34,0.10068249551264552,-0.017230815795523435,ns
LS37,37,-0.06034362904454249,-0.08896939584899646,ns
LS11,11,0.09863470091713275,-0.03026453021926198,ns
LS37,37,0.010963392612656053,-0.12118931215677302,ns
LS37,37,0.00107580563040649,-0.13519568024320083,ns
LS42,42,0.1868338152367713,0.05457109378862984,ns
LS33,33,-0.0074179175802587816,-0.07508049196096099,ns
LS37,37,0.12747999916465808,-0.04697067578347405,ns
LS37,37,-0.043794543611007444,-0.06470696862348402,ns
LS37,37,0.008647069938918395,0.058758330083765936,ns
LS13,13,0.060279221451903675,-0.1421844831229481,ns
LS34,34,0.24371771527151775,-0.054527545355366525,ns
LS37,37,0.03402917997088353,-0.11259870329661349,ns
LS38,38,0.09771170141547714,-0.19741111182666457,ns
LS30,30,0.08652935022817422,-0.07064814228393045,ns
LS38,38,0.04810356390453219,-0.1780377341607296,ns
LS42,42,0.2773460354527593,0.17946821836765825,ns
LS17,17,-0.010691292265541538,0.0323273163807543,ns
LS17,17,0.12474815109921844,-0.006076262299144847,ns
LS37,37,0.10543998674088217,-0.11851730027458159,ns
LS37,37,0.04192022255770525,-0.14824936359996077,ns
LS11,11,-0.03760924890148498,-0.12792340522031903,ns
LS3,3,0.021360997888119654,-0.06481138093700968,ns
LS37,37,-0.009098032995265543,-0.09972394999101072,ns
LS37,37,-0.038214088242212396,-0.04987464663298111,ns
LS37,37,-0.03841614282785252,-0.08677292827781773,ns
LS42,42,0.12154024942932887,-0.018582653891995426,ns
LS3,3,0.10701527738820958,-0.03940362391358974,ns
LS42,42,0.1615852248678531,0.041753720805324385,ns
LS42,42,0.2977124959074304,0.1432848509764319,ns
LS42,42,0.29197390598142503,0.11701921643130411,ns
LS42,42,0.39438257882639105,0.1740554490752862,ns
LS37,37,0.014713661776517145,-0.09417916142292103,ns
LS2,2,0.09206273005558896,0.051249020195987205,favorable
LS15,15,0.09072840006712352,-0.11065101783145921,ns
LS3,3,0.005380971260165457,-0.05512950689722804,ns
LS37,37,-0.017575550053051975,-0.028019806692316254,ns
