LS,program,z,lab,group,dir,HR,p
LS_27,Megakaryocyte,-0.21779457,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,Megakaryocyte,-0.31823397,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,Megakaryocyte,0.14414422,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,Megakaryocyte,-0.77021736,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,Megakaryocyte,-0.33862075,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,Megakaryocyte,0.06895177,LS19,Poor,poor,1.144,0.001073258976889
LS_28,Megakaryocyte,-0.08531174,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,Megakaryocyte,-0.2170954,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,Megakaryocyte,-0.029546147,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,Megakaryocyte,-0.3127823,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,Megakaryocyte,-0.010029752,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,Cell-cycle,-0.41383365,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,Cell-cycle,-0.58230054,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,Cell-cycle,0.9658876,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,Cell-cycle,0.47714895,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,Cell-cycle,-0.38420117,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,Cell-cycle,-0.36883026,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,Cell-cycle,-0.12198761,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,Cell-cycle,-0.66971713,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,Cell-cycle,-0.6258195,LS19,Poor,poor,1.144,0.001073258976889
LS_28,Cell-cycle,-0.45954984,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,Cell-cycle,-0.30032745,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,Cell-cycle,-0.42126882,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,Cell-cycle,-0.5840476,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,Cell-cycle,2.032231,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,OxPhos,-0.43936715,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,OxPhos,0.12857288,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,OxPhos,-0.39247552,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,OxPhos,-4.4331203,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,OxPhos,-0.29863137,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,OxPhos,-0.49760777,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,OxPhos,1.7650858,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,OxPhos,0.37737697,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,OxPhos,-0.29679248,LS19,Poor,poor,1.144,0.001073258976889
LS_28,OxPhos,0.19017267,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,OxPhos,0.17119378,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
