gene,log2FC,padj
UMODL1,0.44260883,3.622773949112123e-11
PTPRCAP,0.6444281,3.73831228148195e-11
TSPAN7,0.62334543,3.7810901773711573e-11
TPP2,0.3583437,4.0000277958455807e-11
KAT6A,0.38857657,4.183191689457572e-11
GBP5,0.6547782,4.671525507702243e-11
XPNPEP1,0.38436493,4.809587889675647e-11
GALNT7,0.364729,5.01179501305403e-11
ATP6V0A2,0.39142132,5.1801612102094184e-11
CYP2E1,1.6122112,5.1801612102094184e-11
DUSP1,0.13195519,5.385903191684127e-11
MTMR2,0.820464,5.4983504885025566e-11
EGLN1,0.5120488,5.606010815701121e-11
SLC41A3,0.3918034,5.629902494233712e-11
STT3B,0.2941449,6.790433546703183e-11
SVIL,0.5382192,7.049198886649163e-11
DUSP10,0.43140173,7.182116457280815e-11
PMPCB,0.31417042,7.21479179841371e-11
TRAF4,0.69974774,7.280100353883756e-11
ELF1,0.2518623,7.991429367187766e-11
KLHL24,0.33983713,8.156754816601365e-11
BIN1,0.6751971,8.157232554776148e-11
WT1,0.79562575,8.6643824380026e-11
IPO5,0.35777125,8.688336493981042e-11
JAG1,0.99766356,1.0143763294126927e-10
PGAM5,0.8209056,1.1514266985176846e-10
SORL1,0.3186843,1.266064296454191e-10
CASP6,0.3526622,1.3267892675863535e-10
NEURL1B,1.4319838,1.343294744714058e-10
PARP8,0.3438557,1.4254803212096355e-10
STAM,0.5531447,1.4481812599872753e-10
NOG,0.73708993,1.528964055122518e-10
BCL11A,0.31090483,1.578327868612376e-10
RAMP1,0.474171,1.788605119407278e-10
DUSP27,1.8413169,2.0186399426261514e-10
FBLN5,2.6447678,2.0246270673752653e-10
YBX3,0.16933711,2.127172971279344e-10
LYN,0.32105508,2.3310172004103696e-10
ABI2,0.6565205,2.413046335625967e-10
ROBO4,1.6887716,2.4360007948761746e-10
MAP7,0.54871166,2.557877193223498e-10
ANKRD36C,0.39003387,2.6047517501874725e-10
NFATC2,0.546144,2.6112595796823953e-10
CD44,0.15355287,2.711026780705244e-10
ALDH5A1,0.65026474,2.7219383845457444e-10
ICAM4,0.43867886,2.90678948448009e-10
ZNF292,0.3312062,2.9287390533748945e-10
SKAP1,2.7139795,2.95312220321908e-10
DENND1B,0.43268833,2.972697629663524e-10
ANKRD28,0.294089,2.988099445932686e-10
SMC5,0.35361728,2.9909720475082656e-10
MPP6,0.68910235,3.1091943540291514e-10
YRDC,0.33503956,3.13479652748605e-10
F11R,0.30039042,3.461460692497906e-10
NAA80,0.36933398,3.621147540161225e-10
TMC6,0.34110785,3.819245751245945e-10
GCSH,0.28054336,3.969144918686597e-10
PRDX4,0.30570096,4.217907469273479e-10
ETFRF1,0.3157559,4.242352133734374e-10
ABHD17C,1.0034966,4.971381992585297e-10
HACD1,0.2884144,5.078524554394995e-10
