,0
826,RORA-AS1
827,DAPK2
828,AC103691.1
829,CALML4
830,SPESP1
831,TMEM202-AS1
832,ADPGK-AS1
833,CD276
834,NRG4
835,DNAJA4
836,CTSH
837,TMC3-AS1
838,TM6SF1
839,PDE8A
840,DET1
841,ZNF710
842,SEMA4B
843,AC124248.1
844,WASIR2
845,RHBDF1
846,NHLRC4
847,MSLN
848,TPSB2
849,TPSAB1
850,TPSD1
851,PTX4
852,IFT140
853,TMEM204
854,AL031710.1
855,EME2
856,ZG16B
857,MMP25
858,AC108134.3
859,MEFV
860,ZSCAN32
861,ADCY9
862,AC099489.1
863,SNN
864,AC010654.1
865,AC007216.4
866,NOMO1
867,NPIPA1
868,MYH11
869,ABCC6
870,NOMO2
871,ITPRIPL2
872,IGSF6
873,NPIPB4
874,AC008915.2
875,LINC02175
876,IL4R
877,KIAA0556
878,AC145285.6
879,CD19
880,LAT
881,BOLA2
882,FBXL19
883,ITGAM
884,ITGAX
885,TGFB1I1
886,NETO2
887,IRX3
888,CRNDE
889,IRX6
890,CES1
891,MT1F
892,MT1X
893,CETP
894,ADGRG5
895,ADGRG3
896,TK2
897,CMTM2
898,FBXL8
899,TPPP3
900,ZDHHC1
901,AC009061.2
902,DPEP3
903,NQO1
904,MTSS2
905,ZNF23
906,ATXN1L
907,ZNF821
908,HP
909,ZFP1
910,ADAT1
911,HSDL1
912,WFDC1
913,CRISPLD2
914,KIAA0513
915,C16orf95
916,ZNF469
917,SNAI3
918,CPNE7
919,VPS9D1
920,RPH3AL
921,C17orf97
922,SLC43A2
923,WDR81
924,SERPINF2
925,SERPINF1
926,CXCL16
927,CAMTA2
928,ZNF594
929,SCIMP
930,KIAA0753
931,CLEC10A
932,ASGR2
933,SOX15
934,CYB5D1
935,CTC1
936,PIK3R6
937,NTN1
938,GAS7
939,ZNF18
940,HS3ST3B1
941,PMP22
942,TVP23C
943,ZNF624
944,CCDC144A
945,FLCN
946,RASD1
947,SLC5A10
948,EPN2
949,B9D1
950,MAPK7
951,CCDC144NL-AS1
952,SPAG5-AS1
953,NEK8
954,ADAP2
955,LRRC37B
956,CCL1
957,SLFN12
958,CCL5
959,CCL23
960,CCL3
961,CCL3L1
962,PIGW
963,NR1D1
964,IGFBP4
965,KRT17
966,DHX58
967,NBR2
968,FZD2
969,TBKBP1
970,SNX11
971,HOXB6
972,AC015912.3
973,PRR11
974,MILR1
975,PRKCA
976,TTYH2
977,GPRC5C
978,CD300C
979,TMEM104
980,FDXR
981,SLC16A5
982,ARMC7
983,EVPL
984,CYGB
985,PRCD
986,SNHG20
987,RBFOX3
988,BAIAP2-DT
989,BAIAP2
990,AC027601.1
991,PPP1R27
992,AP001033.1
993,RAB31
994,NPC1
995,PCAT18
996,DSC2
997,LOXHD1
998,CTIF
999,ONECUT2
1000,SERPINB2
1001,SERPINB8
1002,NETO1
1003,KCNG2
1004,AC009005.1
1005,PLPPR3
1006,ATP8B3
1007,TMPRSS9
1008,ZNF555
1009,TBXA2R
1010,SHD
1011,LRG1
1012,TNFSF9
1013,CD70
1014,TNFSF14
1015,ADGRE1
1016,RETN
1017,MCEMP1
1018,FCER2
1019,RAB11B-AS1
1020,P2RY11
1021,ICAM1
1022,ICAM5
1023,AC011472.2
1024,ZNF700
1025,ZNF709
1026,AC011446.3
1027,AC011446.2
1028,ZSWIM4
1029,RFX1
1030,AC022098.1
1031,PTGER1
1032,ADGRE3
1033,CYP4F3
1034,AC020911.2
1035,C19orf44
1036,AC010618.3
1037,MAST3
1038,LRRC25
1039,HOMER3
1040,HOMER3-AS1
1041,AC092329.4
1042,AC079466.1
1043,NUDT19
1044,LRP3
1045,CEBPA-DT
1046,AC008555.4
1047,ZNF792
1048,SCN1B
1049,FFAR2
1050,THAP8
1051,ZNF382
1052,ZNF790
1053,ZNF345
1054,ZNF420
1055,ZNF585B
1056,ZNF569
1057,ZNF573
1058,KCNK6
1059,RASGRP4
1060,DLL3
1061,PRX
1062,NUMBL
1063,CYP2S1
1064,CEACAM3
1065,GRIK5
1066,ZNF526
1067,CEACAM8
1068,AC005392.2
1069,PINLYP
1070,IRGQ
1071,ZNF45
1072,ZNF230
1073,ZNF234
1074,ZNF235
1075,APOC2
1076,ZNF296
1077,CKM
1078,EML2-AS1
1079,PGLYRP1
1080,PTGIR
1081,BBC3
1082,C5AR1
1083,TRPM4
1084,PRRG2
1085,KCNC3
1086,NAPSA
1087,AC020909.2
1088,SHANK1
1089,SIGLEC9
1090,SIGLEC12
1091,SIGLEC5
1092,FPR1
1093,FPR2
1094,ZNF577
1095,ZNF610
1096,ZNF701
1097,ZNF611
1098,ZNF600
1099,ZNF28
1100,ZNF468
1101,ZNF888
1102,ZNF765
1103,ZNF761
1104,NLRP12
1105,VSTM1
1106,OSCAR
1107,LILRB3
1108,LILRA6
1109,LILRB2
1110,LILRA5
1111,LENG8-AS1
1112,LENG9
1113,LILRA1
1114,LILRB1
1115,LILRB4
1116,FCAR
1117,NLRP2
1118,SSC5D
1119,ZNF671
1120,ZNF587B
1121,ZNF587
1122,A1BG-AS1
1123,ZNF446
1124,MZF1-AS1
1125,SRXN1
1126,SIRPB2
1127,SIRPB1
1128,SHLD1
1129,LAMP5
1130,JAG1
1131,POLR3F
1132,SLC24A3
1133,AL117332.1
1134,CD93
1135,HCK
1136,DYNLRB1
1137,MAP1LC3A
1138,PROCR
1139,FO393401.1
1140,MYL9
1141,BPI
1142,PPP1R16B
1143,MAFB
1144,PLCG1
1145,ZHX3
1146,OSER1-DT
1147,SLPI
1148,NEURL2
1149,AL162458.1
1150,MMP9
1151,SLC12A5
1152,CD40
1153,SULF2
1154,SNAI1
1155,SMIM25
1156,CASS4
1157,PHACTR3
1158,C20orf197
1159,CDH4
1160,LAMA5
1161,NTSR1
1162,COL9A3
1163,HELZ2
1164,ZBTB46
1165,DNAJC5
1166,OPRL1
1167,LINC00189
1168,OLIG1
1169,LINC00649
1170,RCAN1
1171,UMODL1
1172,TFF3
1173,AATBC
1174,GATD3A
1175,TRPM2
1176,ITGB2-AS1
1177,COL6A1
1178,COL6A2
1179,S100B
1180,TMEM191B
1181,CLTCL1
1182,CLDN5
1183,CCDC188
1184,USP41
1185,PRAME
1186,LINC01659
1187,GGT5
1188,ADORA2A
1189,MYO18B
1190,ASPHD2
1191,TTC28
1192,GAS2L1
1193,HORMAD2-AS1
1194,TCN2
1195,HMOX1
1196,APOL4
1197,LGALS2
1198,APOBEC3A
1199,NFAM1
1200,BIK
1201,SCUBE1
1202,UPK3A
1203,LINC00899
1204,ODF3B
1205,KLHDC7B
1206,CPT1B
1207,CSF2RA
1208,TLR7
1209,TLR8
1210,GPM6B
1211,MOSPD2
1212,MBTPS2
1213,CYBB
1214,TSPAN7
1215,CHST7
1216,ZNF182
1217,TBC1D25
1218,IQSEC2
1219,VSIG4
1220,AR
1221,STARD8
1222,AL590764.1
1223,TSIX
1224,XIST
1225,Z83843.1
1226,SLC25A53
1227,COL4A5
1228,IL13RA1
1229,SOWAHD
1230,SH2D1A
1231,MOSPD1
1232,CT45A1
1233,CT45A10
1234,SLITRK4
1235,AFF2
1236,ABCD1
1237,AC244090.1
1238,IL9R
1239,LINC00278
1240,AC004556.3
